"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","plugin_version","time_elapsed","rt","stimulus","response","task","correct_response","correct"
"true","false","[]","[]","[]","preload","0","2.0.0","24","","","","","",""
"","","","","","html-keyboard-response","1","2.0.0","22718","22691","Welcome to the experiment. Press any key to begin."," ","","",""
"","","","","","html-keyboard-response","2","2.0.0","27337","4615","
        <p>In this experiment, a circle will appear in the center 
        of the screen.</p><p>If the circle is <strong>blue</strong>, 
        press the letter F on the keyboard as fast as you can.</p>
        <p>If the circle is <strong>orange</strong>, press the letter J 
        as fast as you can.</p>
        <div style='width: 700px;'>
        <div style='float: left;'><img src='images/blue.png'></img>
        <p class='small'><strong>Press the F key</strong></p></div>
        <div style='float: right;'><img src='images/orange.png'></img>
        <p class='small'><strong>Press the J key</strong></p></div>
        </div>
        <p>Press any key to begin.</p>
      ","f","","",""
"","","","","","html-keyboard-response","3","2.0.0","31344","null","<div style=""font-size:60px;"">+</div>","null","fixation","",""
"","","","","","image-keyboard-response","4","2.0.0","31773","422","images/orange.png","j","response","j","true"
"","","","","","html-keyboard-response","5","2.0.0","32277","null","<div style=""font-size:60px;"">+</div>","null","fixation","",""
"","","","","","image-keyboard-response","6","2.0.0","32620","340","images/blue.png","f","response","f","true"
"","","","","","html-keyboard-response","7","2.0.0","33622","null","<div style=""font-size:60px;"">+</div>","null","fixation","",""
"","","","","","image-keyboard-response","8","2.0.0","33928","303","images/blue.png","f","response","f","true"
"","","","","","html-keyboard-response","9","2.0.0","34432","null","<div style=""font-size:60px;"">+</div>","null","fixation","",""
"","","","","","image-keyboard-response","10","2.0.0","34847","412","images/orange.png","j","response","j","true"
"","","","","","html-keyboard-response","11","2.0.0","36101","null","<div style=""font-size:60px;"">+</div>","null","fixation","",""
"","","","","","image-keyboard-response","12","2.0.0","36455","350","images/blue.png","j","response","f","false"
"","","","","","html-keyboard-response","13","2.0.0","37207","null","<div style=""font-size:60px;"">+</div>","null","fixation","",""
"","","","","","image-keyboard-response","14","2.0.0","37674","462","images/orange.png","j","response","j","true"
"","","","","","html-keyboard-response","15","2.0.0","39178","null","<div style=""font-size:60px;"">+</div>","null","fixation","",""
"","","","","","image-keyboard-response","16","2.0.0","39497","315","images/blue.png","j","response","f","false"
"","","","","","html-keyboard-response","17","2.0.0","41250","null","<div style=""font-size:60px;"">+</div>","null","fixation","",""
"","","","","","image-keyboard-response","18","2.0.0","41578","323","images/orange.png","f","response","j","false"
"","","","","","html-keyboard-response","19","2.0.0","42331","null","<div style=""font-size:60px;"">+</div>","null","fixation","",""
"","","","","","image-keyboard-response","20","2.0.0","42723","389","images/orange.png","j","response","j","true"
"","","","","","html-keyboard-response","21","2.0.0","43727","null","<div style=""font-size:60px;"">+</div>","null","fixation","",""
"","","","","","image-keyboard-response","22","2.0.0","44020","289","images/blue.png","f","response","f","true"
"","","","","","html-keyboard-response","23","2.0.0","45274","null","<div style=""font-size:60px;"">+</div>","null","fixation","",""
"","","","","","image-keyboard-response","24","2.0.0","45613","335","images/orange.png","j","response","j","true"
"","","","","","html-keyboard-response","25","2.0.0","47117","null","<div style=""font-size:60px;"">+</div>","null","fixation","",""
"","","","","","image-keyboard-response","26","2.0.0","47506","386","images/blue.png","f","response","f","true"
"","","","","","html-keyboard-response","27","2.0.0","48259","null","<div style=""font-size:60px;"">+</div>","null","fixation","",""
"","","","","","image-keyboard-response","28","2.0.0","48606","344","images/blue.png","f","response","f","true"
"","","","","","html-keyboard-response","29","2.0.0","50360","null","<div style=""font-size:60px;"">+</div>","null","fixation","",""
"","","","","","image-keyboard-response","30","2.0.0","50640","277","images/orange.png","j","response","j","true"
"","","","","","html-keyboard-response","31","2.0.0","51894","null","<div style=""font-size:60px;"">+</div>","null","fixation","",""
"","","","","","image-keyboard-response","32","2.0.0","52432","535","images/blue.png","f","response","f","true"
"","","","","","html-keyboard-response","33","2.0.0","52935","null","<div style=""font-size:60px;"">+</div>","null","fixation","",""
"","","","","","image-keyboard-response","34","2.0.0","53396","458","images/orange.png","j","response","j","true"
"","","","","","html-keyboard-response","35","2.0.0","53899","null","<div style=""font-size:60px;"">+</div>","null","fixation","",""
"","","","","","image-keyboard-response","36","2.0.0","54353","451","images/blue.png","f","response","f","true"
"","","","","","html-keyboard-response","37","2.0.0","55606","null","<div style=""font-size:60px;"">+</div>","null","fixation","",""
"","","","","","image-keyboard-response","38","2.0.0","56014","405","images/orange.png","f","response","j","false"
"","","","","","html-keyboard-response","39","2.0.0","56767","null","<div style=""font-size:60px;"">+</div>","null","fixation","",""
"","","","","","image-keyboard-response","40","2.0.0","57031","260","images/blue.png","f","response","f","true"
"","","","","","html-keyboard-response","41","2.0.0","57535","null","<div style=""font-size:60px;"">+</div>","null","fixation","",""
