"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","plugin_version","time_elapsed","rt","stimulus","response","task","correct_response","correct"
"true","false","[]","[]","[]","preload","0","2.0.0","86","","","","","",""
"","","","","","html-keyboard-response","1","2.0.0","2747","2660","Welcome to the experiment. Press any key to begin."," ","","",""
"","","","","","html-keyboard-response","2","2.0.0","12900","10150","
        <p>In this experiment, a circle will appear in the center 
        of the screen.</p><p>If the circle is <strong>blue</strong>, 
        press the letter F on the keyboard as fast as you can.</p>
        <p>If the circle is <strong>orange</strong>, press the letter J 
        as fast as you can.</p>
        <div style='width: 700px;'>
        <div style='float: left;'><img src='images/blue.png'></img>
        <p class='small'><strong>Press the F key</strong></p></div>
        <div style='float: right;'><img src='images/orange.png'></img>
        <p class='small'><strong>Press the J key</strong></p></div>
        </div>
        <p>Press any key to begin.</p>
      ","j","","",""
"","","","","","html-keyboard-response","3","2.0.0","16405","null","<div style=""font-size:60px;"">+</div>","null","fixation","",""
"","","","","","image-keyboard-response","4","2.0.0","17172","763","images/blue.png","f","response","f","true"
"","","","","","html-keyboard-response","5","2.0.0","17424","null","<div style=""font-size:60px;"">+</div>","null","fixation","",""
"","","","","","image-keyboard-response","6","2.0.0","17835","408","images/orange.png","j","response","j","true"
"","","","","","html-keyboard-response","7","2.0.0","19588","null","<div style=""font-size:60px;"">+</div>","null","fixation","",""
"","","","","","image-keyboard-response","8","2.0.0","20075","485","images/blue.png","f","response","f","true"
"","","","","","html-keyboard-response","9","2.0.0","20576","null","<div style=""font-size:60px;"">+</div>","null","fixation","",""
"","","","","","image-keyboard-response","10","2.0.0","20854","276","images/orange.png","j","response","j","true"
"","","","","","html-keyboard-response","11","2.0.0","21857","null","<div style=""font-size:60px;"">+</div>","null","fixation","",""
"","","","","","image-keyboard-response","12","2.0.0","22301","442","images/orange.png","j","response","j","true"
"","","","","","html-keyboard-response","13","2.0.0","22554","null","<div style=""font-size:60px;"">+</div>","null","fixation","",""
"","","","","","image-keyboard-response","14","2.0.0","23037","480","images/blue.png","f","response","f","true"
"","","","","","html-keyboard-response","15","2.0.0","24039","null","<div style=""font-size:60px;"">+</div>","null","fixation","",""
"","","","","","image-keyboard-response","16","2.0.0","24470","429","images/blue.png","f","response","f","true"
"","","","","","html-keyboard-response","17","2.0.0","24973","null","<div style=""font-size:60px;"">+</div>","null","fixation","",""
"","","","","","image-keyboard-response","18","2.0.0","25426","451","images/orange.png","j","response","j","true"
"","","","","","html-keyboard-response","19","2.0.0","26929","null","<div style=""font-size:60px;"">+</div>","null","fixation","",""
"","","","","","image-keyboard-response","20","2.0.0","27297","365","images/blue.png","f","response","f","true"
"","","","","","html-keyboard-response","21","2.0.0","27549","null","<div style=""font-size:60px;"">+</div>","null","fixation","",""
"","","","","","image-keyboard-response","22","2.0.0","27975","423","images/orange.png","j","response","j","true"
"","","","","","html-keyboard-response","23","2.0.0","29228","null","<div style=""font-size:60px;"">+</div>","null","fixation","",""
"","","","","","image-keyboard-response","24","2.0.0","29602","372","images/blue.png","f","response","f","true"
"","","","","","html-keyboard-response","25","2.0.0","30854","null","<div style=""font-size:60px;"">+</div>","null","fixation","",""
"","","","","","image-keyboard-response","26","2.0.0","31325","469","images/orange.png","j","response","j","true"
"","","","","","html-keyboard-response","27","2.0.0","33328","null","<div style=""font-size:60px;"">+</div>","null","fixation","",""
"","","","","","image-keyboard-response","28","2.0.0","33754","424","images/blue.png","f","response","f","true"
"","","","","","html-keyboard-response","29","2.0.0","35257","null","<div style=""font-size:60px;"">+</div>","null","fixation","",""
"","","","","","image-keyboard-response","30","2.0.0","35559","300","images/orange.png","j","response","j","true"
"","","","","","html-keyboard-response","31","2.0.0","35812","null","<div style=""font-size:60px;"">+</div>","null","fixation","",""
"","","","","","image-keyboard-response","32","2.0.0","36378","564","images/orange.png","j","response","j","true"
