"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","plugin_version","time_elapsed","rt","stimulus","response","task","correct_response","correct"
"true","false","[]","[]","[]","preload","0","2.0.0","75","","","","","",""
"","","","","","html-keyboard-response","1","2.0.0","2201","2125","Welcome to the experiment. Press any key to begin."," ","","",""
"","","","","","html-keyboard-response","2","2.0.0","12094","9892","
        <p>In this experiment, a circle will appear in the center 
        of the screen.</p><p>If the circle is <strong>blue</strong>, 
        press the letter F on the keyboard as fast as you can.</p>
        <p>If the circle is <strong>orange</strong>, press the letter J 
        as fast as you can.</p>
        <div style='width: 700px;'>
        <div style='float: left;'><img src='images/blue.png'></img>
        <p class='small'><strong>Press the F key</strong></p></div>
        <div style='float: right;'><img src='images/orange.png'></img>
        <p class='small'><strong>Press the J key</strong></p></div>
        </div>
        <p>Press any key to begin.</p>
      ","f","","",""
"","","","","","html-keyboard-response","3","2.0.0","14862","null","<div style=""font-size:60px;"">+</div>","null","fixation","",""
"","","","","","image-keyboard-response","4","2.0.0","15250","386","images/blue.png","f","response","f","true"
"","","","","","html-keyboard-response","5","2.0.0","16753","null","<div style=""font-size:60px;"">+</div>","null","fixation","",""
"","","","","","image-keyboard-response","6","2.0.0","17021","268","images/orange.png","j","response","j","true"
"","","","","","html-keyboard-response","7","2.0.0","18777","null","<div style=""font-size:60px;"">+</div>","null","fixation","",""
"","","","","","image-keyboard-response","8","2.0.0","19065","287","images/blue.png","f","response","f","true"
"","","","","","html-keyboard-response","9","2.0.0","20068","null","<div style=""font-size:60px;"">+</div>","null","fixation","",""
"","","","","","image-keyboard-response","10","2.0.0","20422","353","images/orange.png","j","response","j","true"
"","","","","","html-keyboard-response","11","2.0.0","22180","null","<div style=""font-size:60px;"">+</div>","null","fixation","",""
"","","","","","image-keyboard-response","12","2.0.0","22534","354","images/orange.png","j","response","j","true"
"","","","","","html-keyboard-response","13","2.0.0","23293","null","<div style=""font-size:60px;"">+</div>","null","fixation","",""
"","","","","","image-keyboard-response","14","2.0.0","23624","330","images/blue.png","f","response","f","true"
"","","","","","html-keyboard-response","15","2.0.0","23876","null","<div style=""font-size:60px;"">+</div>","null","fixation","",""
"","","","","","image-keyboard-response","16","2.0.0","24248","371","images/blue.png","f","response","f","true"
"","","","","","html-keyboard-response","17","2.0.0","25250","null","<div style=""font-size:60px;"">+</div>","null","fixation","",""
"","","","","","image-keyboard-response","18","2.0.0","25483","233","images/orange.png","j","response","j","true"
"","","","","","html-keyboard-response","19","2.0.0","26236","null","<div style=""font-size:60px;"">+</div>","null","fixation","",""
"","","","","","image-keyboard-response","20","2.0.0","26549","312","images/blue.png","f","response","f","true"
"","","","","","html-keyboard-response","21","2.0.0","27563","null","<div style=""font-size:60px;"">+</div>","null","fixation","",""
"","","","","","image-keyboard-response","22","2.0.0","27879","315","images/orange.png","j","response","j","true"
"","","","","","html-keyboard-response","23","2.0.0","29137","null","<div style=""font-size:60px;"">+</div>","null","fixation","",""
"","","","","","image-keyboard-response","24","2.0.0","29480","342","images/blue.png","f","response","f","true"
"","","","","","html-keyboard-response","25","2.0.0","30987","null","<div style=""font-size:60px;"">+</div>","null","fixation","",""
"","","","","","image-keyboard-response","26","2.0.0","31295","307","images/orange.png","j","response","j","true"
"","","","","","html-keyboard-response","27","2.0.0","33059","null","<div style=""font-size:60px;"">+</div>","null","fixation","",""
"","","","","","image-keyboard-response","28","2.0.0","33500","440","images/orange.png","j","response","j","true"
"","","","","","html-keyboard-response","29","2.0.0","34002","null","<div style=""font-size:60px;"">+</div>","null","fixation","",""
"","","","","","image-keyboard-response","30","2.0.0","34315","312","images/blue.png","j","response","f","false"
"","","","","","html-keyboard-response","31","2.0.0","35568","null","<div style=""font-size:60px;"">+</div>","null","fixation","",""
"","","","","","image-keyboard-response","32","2.0.0","35959","390","images/blue.png","f","response","f","true"
"","","","","","html-keyboard-response","33","2.0.0","36218","null","<div style=""font-size:60px;"">+</div>","null","fixation","",""
"","","","","","image-keyboard-response","34","2.0.0","36662","443","images/orange.png","j","response","j","true"
"","","","","","html-keyboard-response","35","2.0.0","38168","null","<div style=""font-size:60px;"">+</div>","null","fixation","",""
"","","","","","image-keyboard-response","36","2.0.0","38502","334","images/blue.png","f","response","f","true"
"","","","","","html-keyboard-response","37","2.0.0","39262","null","<div style=""font-size:60px;"">+</div>","null","fixation","",""
"","","","","","image-keyboard-response","38","2.0.0","39672","409","images/orange.png","j","response","j","true"
"","","","","","html-keyboard-response","39","2.0.0","40430","null","<div style=""font-size:60px;"">+</div>","null","fixation","",""
"","","","","","image-keyboard-response","40","2.0.0","40902","472","images/orange.png","j","response","j","true"
"","","","","","html-keyboard-response","41","2.0.0","41161","null","<div style=""font-size:60px;"">+</div>","null","fixation","",""
"","","","","","image-keyboard-response","42","2.0.0","41625","463","images/blue.png","f","response","f","true"
"","","","","","html-keyboard-response","43","2.0.0","42131","null","<div style=""font-size:60px;"">+</div>","null","fixation","",""
"","","","","","image-keyboard-response","44","2.0.0","42430","298","images/blue.png","j","response","f","false"
"","","","","","html-keyboard-response","45","2.0.0","43687","null","<div style=""font-size:60px;"">+</div>","null","fixation","",""
"","","","","","image-keyboard-response","46","2.0.0","44152","465","images/orange.png","j","response","j","true"
"","","","","","html-keyboard-response","47","2.0.0","44660","null","<div style=""font-size:60px;"">+</div>","null","fixation","",""
"","","","","","image-keyboard-response","48","2.0.0","45142","482","images/blue.png","f","response","f","true"
"","","","","","html-keyboard-response","49","2.0.0","46151","null","<div style=""font-size:60px;"">+</div>","null","fixation","",""
"","","","","","image-keyboard-response","50","2.0.0","46545","393","images/orange.png","j","response","j","true"
"","","","","","html-keyboard-response","51","2.0.0","48551","null","<div style=""font-size:60px;"">+</div>","null","fixation","",""
"","","","","","image-keyboard-response","52","2.0.0","49045","494","images/blue.png","f","response","f","true"
"","","","","","html-keyboard-response","53","2.0.0","50049","null","<div style=""font-size:60px;"">+</div>","null","fixation","",""
"","","","","","image-keyboard-response","54","2.0.0","50489","439","images/orange.png","j","response","j","true"
"","","","","","html-keyboard-response","55","2.0.0","51995","null","<div style=""font-size:60px;"">+</div>","null","fixation","",""
"","","","","","image-keyboard-response","56","2.0.0","52380","385","images/orange.png","j","response","j","true"
"","","","","","html-keyboard-response","57","2.0.0","53884","null","<div style=""font-size:60px;"">+</div>","null","fixation","",""
"","","","","","image-keyboard-response","58","2.0.0","54224","339","images/blue.png","f","response","f","true"
"","","","","","html-keyboard-response","59","2.0.0","55479","null","<div style=""font-size:60px;"">+</div>","null","fixation","",""
"","","","","","image-keyboard-response","60","2.0.0","55869","389","images/blue.png","f","response","f","true"
"","","","","","html-keyboard-response","61","2.0.0","56126","null","<div style=""font-size:60px;"">+</div>","null","fixation","",""
"","","","","","image-keyboard-response","62","2.0.0","56583","457","images/orange.png","j","response","j","true"
"","","","","","html-keyboard-response","63","2.0.0","58588","null","<div style=""font-size:60px;"">+</div>","null","fixation","",""
"","","","","","image-keyboard-response","64","2.0.0","59071","482","images/orange.png","j","response","j","true"
