"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","plugin_version","time_elapsed","rt","stimulus","response","task","correct_response","correct"
"true","false","[]","[]","[]","preload","0","2.0.0","78","","","","","",""
"","","","","","html-keyboard-response","1","2.0.0","7347","7266","Welcome to the experiment. Press any key to begin."," ","","",""
"","","","","","html-keyboard-response","2","2.0.0","27282","19933","
        <p>In this experiment, a circle will appear in the center 
        of the screen.</p><p>If the circle is <strong>blue</strong>, 
        press the letter F on the keyboard as fast as you can.</p>
        <p>If the circle is <strong>orange</strong>, press the letter J 
        as fast as you can.</p>
        <div style='width: 700px;'>
        <div style='float: left;'><img src='images/blue.png'></img>
        <p class='small'><strong>Press the F key</strong></p></div>
        <div style='float: right;'><img src='images/orange.png'></img>
        <p class='small'><strong>Press the J key</strong></p></div>
        </div>
        <p>Press any key to begin.</p>
      "," ","","",""
"","","","","","html-keyboard-response","3","2.0.0","29791","null","<div style=""font-size:60px;"">+</div>","null","fixation","",""
"","","","","","image-keyboard-response","4","2.0.0","30298","498","images/blue.png","f","response","f","true"
"","","","","","html-keyboard-response","5","2.0.0","30551","null","<div style=""font-size:60px;"">+</div>","null","fixation","",""
"","","","","","image-keyboard-response","6","2.0.0","31065","508","images/orange.png","j","response","j","true"
"","","","","","html-keyboard-response","7","2.0.0","31317","null","<div style=""font-size:60px;"">+</div>","null","fixation","",""
"","","","","","image-keyboard-response","8","2.0.0","31760","440","images/blue.png","f","response","f","true"
"","","","","","html-keyboard-response","9","2.0.0","32266","null","<div style=""font-size:60px;"">+</div>","null","fixation","",""
"","","","","","image-keyboard-response","10","2.0.0","32602","334","images/orange.png","j","response","j","true"
"","","","","","html-keyboard-response","11","2.0.0","33604","null","<div style=""font-size:60px;"">+</div>","null","fixation","",""
"","","","","","image-keyboard-response","12","2.0.0","34141","534","images/blue.png","f","response","f","true"
"","","","","","html-keyboard-response","13","2.0.0","35646","null","<div style=""font-size:60px;"">+</div>","null","fixation","",""
"","","","","","image-keyboard-response","14","2.0.0","36153","504","images/orange.png","j","response","j","true"
"","","","","","html-keyboard-response","15","2.0.0","37908","null","<div style=""font-size:60px;"">+</div>","null","fixation","",""
"","","","","","image-keyboard-response","16","2.0.0","38414","503","images/orange.png","j","response","j","true"
"","","","","","html-keyboard-response","17","2.0.0","40167","null","<div style=""font-size:60px;"">+</div>","null","fixation","",""
"","","","","","image-keyboard-response","18","2.0.0","40604","436","images/blue.png","f","response","f","true"
"","","","","","html-keyboard-response","19","2.0.0","41860","null","<div style=""font-size:60px;"">+</div>","null","fixation","",""
"","","","","","image-keyboard-response","20","2.0.0","42180","317","images/blue.png","f","response","f","true"
"","","","","","html-keyboard-response","21","2.0.0","42683","null","<div style=""font-size:60px;"">+</div>","null","fixation","",""
