"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","plugin_version","time_elapsed","rt","stimulus","response","task","correct_response","correct"
"true","false","[]","[]","[]","preload","0","2.0.0","94","","","","","",""
"","","","","","html-keyboard-response","1","2.0.0","1904","1806","Welcome to the experiment. Press any key to begin."," ","","",""
"","","","","","html-keyboard-response","2","2.0.0","12512","10604","
        <p>In this experiment, a circle will appear in the center 
        of the screen.</p><p>If the circle is <strong>blue</strong>, 
        press the letter F on the keyboard as fast as you can.</p>
        <p>If the circle is <strong>orange</strong>, press the letter J 
        as fast as you can.</p>
        <div style='width: 700px;'>
        <div style='float: left;'><img src='images/blue.png'></img>
        <p class='small'><strong>Press the F key</strong></p></div>
        <div style='float: right;'><img src='images/orange.png'></img>
        <p class='small'><strong>Press the J key</strong></p></div>
        </div>
        <p>Press any key to begin.</p>
      "," ","","",""
"","","","","","html-keyboard-response","3","2.0.0","16286","null","<div style=""font-size:60px;"">+</div>","null","fixation","",""
"","","","","","image-keyboard-response","4","2.0.0","17192","901","images/blue.png","f","response","f","true"
"","","","","","html-keyboard-response","5","2.0.0","17698","null","<div style=""font-size:60px;"">+</div>","null","fixation","",""
"","","","","","image-keyboard-response","6","2.0.0","18139","440","images/orange.png","j","response","j","true"
"","","","","","html-keyboard-response","7","2.0.0","19898","null","<div style=""font-size:60px;"">+</div>","null","fixation","",""
"","","","","","image-keyboard-response","8","2.0.0","20232","332","images/orange.png","j","response","j","true"
"","","","","","html-keyboard-response","9","2.0.0","21746","null","<div style=""font-size:60px;"">+</div>","null","fixation","",""
"","","","","","image-keyboard-response","10","2.0.0","22045","297","images/blue.png","f","response","f","true"
"","","","","","html-keyboard-response","11","2.0.0","22310","null","<div style=""font-size:60px;"">+</div>","null","fixation","",""
"","","","","","image-keyboard-response","12","2.0.0","22662","351","images/blue.png","f","response","f","true"
"","","","","","html-keyboard-response","13","2.0.0","23916","null","<div style=""font-size:60px;"">+</div>","null","fixation","",""
"","","","","","image-keyboard-response","14","2.0.0","24144","225","images/orange.png","j","response","j","true"
"","","","","","html-keyboard-response","15","2.0.0","25401","null","<div style=""font-size:60px;"">+</div>","null","fixation","",""
"","","","","","image-keyboard-response","16","2.0.0","25713","310","images/blue.png","f","response","f","true"
"","","","","","html-keyboard-response","17","2.0.0","25977","null","<div style=""font-size:60px;"">+</div>","null","fixation","",""
"","","","","","image-keyboard-response","18","2.0.0","26436","456","images/orange.png","j","response","j","true"
"","","","","","html-keyboard-response","19","2.0.0","28450","null","<div style=""font-size:60px;"">+</div>","null","fixation","",""
"","","","","","image-keyboard-response","20","2.0.0","29085","633","images/blue.png","f","response","f","true"
"","","","","","html-keyboard-response","21","2.0.0","30098","null","<div style=""font-size:60px;"">+</div>","null","fixation","",""
"","","","","","image-keyboard-response","22","2.0.0","30409","303","images/orange.png","f","response","j","false"
"","","","","","html-keyboard-response","23","2.0.0","31426","null","<div style=""font-size:60px;"">+</div>","null","fixation","",""
"","","","","","image-keyboard-response","24","2.0.0","32244","816","images/blue.png","f","response","f","true"
"","","","","","html-keyboard-response","25","2.0.0","34252","null","<div style=""font-size:60px;"">+</div>","null","fixation","",""
"","","","","","image-keyboard-response","26","2.0.0","34599","345","images/orange.png","j","response","j","true"
"","","","","","html-keyboard-response","27","2.0.0","35361","null","<div style=""font-size:60px;"">+</div>","null","fixation","",""
"","","","","","image-keyboard-response","28","2.0.0","35629","267","images/orange.png","j","response","j","true"
"","","","","","html-keyboard-response","29","2.0.0","37390","null","<div style=""font-size:60px;"">+</div>","null","fixation","",""
"","","","","","image-keyboard-response","30","2.0.0","37757","365","images/blue.png","f","response","f","true"
"","","","","","html-keyboard-response","31","2.0.0","38519","null","<div style=""font-size:60px;"">+</div>","null","fixation","",""
"","","","","","image-keyboard-response","32","2.0.0","39081","560","images/orange.png","j","response","j","true"
"","","","","","html-keyboard-response","33","2.0.0","40835","null","<div style=""font-size:60px;"">+</div>","null","fixation","",""
"","","","","","image-keyboard-response","34","2.0.0","41190","352","images/blue.png","f","response","f","true"
"","","","","","html-keyboard-response","35","2.0.0","43200","null","<div style=""font-size:60px;"">+</div>","null","fixation","",""
"","","","","","image-keyboard-response","36","2.0.0","43495","293","images/orange.png","j","response","j","true"
"","","","","","html-keyboard-response","37","2.0.0","45004","null","<div style=""font-size:60px;"">+</div>","null","fixation","",""
"","","","","","image-keyboard-response","38","2.0.0","45249","244","images/blue.png","f","response","f","true"
"","","","","","html-keyboard-response","39","2.0.0","46251","null","<div style=""font-size:60px;"">+</div>","null","fixation","",""
"","","","","","image-keyboard-response","40","2.0.0","46542","289","images/orange.png","j","response","j","true"
"","","","","","html-keyboard-response","41","2.0.0","47802","null","<div style=""font-size:60px;"">+</div>","null","fixation","",""
"","","","","","image-keyboard-response","42","2.0.0","48116","312","images/blue.png","f","response","f","true"
"","","","","","html-keyboard-response","43","2.0.0","49383","null","<div style=""font-size:60px;"">+</div>","null","fixation","",""
"","","","","","image-keyboard-response","44","2.0.0","49699","314","images/blue.png","f","response","f","true"
"","","","","","html-keyboard-response","45","2.0.0","50953","null","<div style=""font-size:60px;"">+</div>","null","fixation","",""
"","","","","","image-keyboard-response","46","2.0.0","51396","441","images/orange.png","j","response","j","true"
"","","","","","html-keyboard-response","47","2.0.0","52901","null","<div style=""font-size:60px;"">+</div>","null","fixation","",""
"","","","","","image-keyboard-response","48","2.0.0","53257","353","images/blue.png","f","response","f","true"
"","","","","","html-keyboard-response","49","2.0.0","54515","null","<div style=""font-size:60px;"">+</div>","null","fixation","",""
"","","","","","image-keyboard-response","50","2.0.0","54908","390","images/orange.png","j","response","j","true"
"","","","","","html-keyboard-response","51","2.0.0","56422","null","<div style=""font-size:60px;"">+</div>","null","fixation","",""
"","","","","","image-keyboard-response","52","2.0.0","56971","546","images/blue.png","f","response","f","true"
"","","","","","html-keyboard-response","53","2.0.0","57733","null","<div style=""font-size:60px;"">+</div>","null","fixation","",""
"","","","","","image-keyboard-response","54","2.0.0","57997","261","images/orange.png","j","response","j","true"
"","","","","","html-keyboard-response","55","2.0.0","59755","null","<div style=""font-size:60px;"">+</div>","null","fixation","",""
"","","","","","image-keyboard-response","56","2.0.0","60108","351","images/orange.png","f","response","j","false"
"","","","","","html-keyboard-response","57","2.0.0","61869","null","<div style=""font-size:60px;"">+</div>","null","fixation","",""
"","","","","","image-keyboard-response","58","2.0.0","62150","279","images/blue.png","f","response","f","true"
"","","","","","html-keyboard-response","59","2.0.0","62659","null","<div style=""font-size:60px;"">+</div>","null","fixation","",""
"","","","","","image-keyboard-response","60","2.0.0","63116","456","images/blue.png","f","response","f","true"
