"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","plugin_version","time_elapsed","rt","stimulus","response","task","correct_response","correct"
"true","false","[]","[]","[]","preload","0","2.0.0","28","","","","","",""
"","","","","","html-keyboard-response","1","2.0.0","3437","3409","Welcome to the experiment. Press any key to begin."," ","","",""
"","","","","","html-keyboard-response","2","2.0.0","10742","7304","
        <p>In this experiment, a circle will appear in the center 
        of the screen.</p><p>If the circle is <strong>blue</strong>, 
        press the letter F on the keyboard as fast as you can.</p>
        <p>If the circle is <strong>orange</strong>, press the letter J 
        as fast as you can.</p>
        <div style='width: 700px;'>
        <div style='float: left;'><img src='images/blue.png'></img>
        <p class='small'><strong>Press the F key</strong></p></div>
        <div style='float: right;'><img src='images/orange.png'></img>
        <p class='small'><strong>Press the J key</strong></p></div>
        </div>
        <p>Press any key to begin.</p>
      "," ","","",""
"","","","","","html-keyboard-response","3","2.0.0","14264","null","<div style=""font-size:60px;"">+</div>","null","fixation","",""
"","","","","","image-keyboard-response","4","2.0.0","14902","631","images/blue.png","f","response","f","true"
"","","","","","html-keyboard-response","5","2.0.0","16919","null","<div style=""font-size:60px;"">+</div>","null","fixation","",""
"","","","","","image-keyboard-response","6","2.0.0","17289","367","images/orange.png","j","response","j","true"
"","","","","","html-keyboard-response","7","2.0.0","17806","null","<div style=""font-size:60px;"">+</div>","null","fixation","",""
"","","","","","image-keyboard-response","8","2.0.0","18139","332","images/orange.png","f","response","j","false"
"","","","","","html-keyboard-response","9","2.0.0","19145","null","<div style=""font-size:60px;"">+</div>","null","fixation","",""
"","","","","","image-keyboard-response","10","2.0.0","20023","876","images/blue.png","f","response","f","true"
"","","","","","html-keyboard-response","11","2.0.0","20290","null","<div style=""font-size:60px;"">+</div>","null","fixation","",""
"","","","","","image-keyboard-response","12","2.0.0","20728","436","images/orange.png","j","response","j","true"
"","","","","","html-keyboard-response","13","2.0.0","22233","null","<div style=""font-size:60px;"">+</div>","null","fixation","",""
"","","","","","image-keyboard-response","14","2.0.0","22682","447","images/blue.png","f","response","f","true"
"","","","","","html-keyboard-response","15","2.0.0","23196","null","<div style=""font-size:60px;"">+</div>","null","fixation","",""
"","","","","","image-keyboard-response","16","2.0.0","23580","381","images/orange.png","j","response","j","true"
"","","","","","html-keyboard-response","17","2.0.0","24588","null","<div style=""font-size:60px;"">+</div>","null","fixation","",""
"","","","","","image-keyboard-response","18","2.0.0","25009","418","images/blue.png","f","response","f","true"
"","","","","","html-keyboard-response","19","2.0.0","26267","null","<div style=""font-size:60px;"">+</div>","null","fixation","",""
"","","","","","image-keyboard-response","20","2.0.0","26797","530","images/orange.png","j","response","j","true"
"","","","","","html-keyboard-response","21","2.0.0","27062","null","<div style=""font-size:60px;"">+</div>","null","fixation","",""
"","","","","","image-keyboard-response","22","2.0.0","27645","582","images/blue.png","f","response","f","true"
"","","","","","html-keyboard-response","23","2.0.0","29160","null","<div style=""font-size:60px;"">+</div>","null","fixation","",""
"","","","","","image-keyboard-response","24","2.0.0","29601","439","images/orange.png","j","response","j","true"
"","","","","","html-keyboard-response","25","2.0.0","30615","null","<div style=""font-size:60px;"">+</div>","null","fixation","",""
"","","","","","image-keyboard-response","26","2.0.0","30960","341","images/blue.png","f","response","f","true"
"","","","","","html-keyboard-response","27","2.0.0","31477","null","<div style=""font-size:60px;"">+</div>","null","fixation","",""
"","","","","","image-keyboard-response","28","2.0.0","31829","349","images/blue.png","f","response","f","true"
"","","","","","html-keyboard-response","29","2.0.0","32595","null","<div style=""font-size:60px;"">+</div>","null","fixation","",""
"","","","","","image-keyboard-response","30","2.0.0","32886","288","images/orange.png","f","response","j","false"
"","","","","","html-keyboard-response","31","2.0.0","33639","null","<div style=""font-size:60px;"">+</div>","null","fixation","",""
"","","","","","image-keyboard-response","32","2.0.0","34079","438","images/orange.png","j","response","j","true"
"","","","","","html-keyboard-response","33","2.0.0","34837","null","<div style=""font-size:60px;"">+</div>","null","fixation","",""
"","","","","","image-keyboard-response","34","2.0.0","35293","454","images/blue.png","f","response","f","true"
"","","","","","html-keyboard-response","35","2.0.0","37058","null","<div style=""font-size:60px;"">+</div>","null","fixation","",""
"","","","","","image-keyboard-response","36","2.0.0","37528","469","images/blue.png","f","response","f","true"
"","","","","","html-keyboard-response","37","2.0.0","39289","null","<div style=""font-size:60px;"">+</div>","null","fixation","",""
"","","","","","image-keyboard-response","38","2.0.0","39774","483","images/orange.png","j","response","j","true"
"","","","","","html-keyboard-response","39","2.0.0","41286","null","<div style=""font-size:60px;"">+</div>","null","fixation","",""
"","","","","","image-keyboard-response","40","2.0.0","41729","442","images/blue.png","f","response","f","true"
"","","","","","html-keyboard-response","41","2.0.0","42234","null","<div style=""font-size:60px;"">+</div>","null","fixation","",""
"","","","","","image-keyboard-response","42","2.0.0","42778","541","images/orange.png","j","response","j","true"
"","","","","","html-keyboard-response","43","2.0.0","44793","null","<div style=""font-size:60px;"">+</div>","null","fixation","",""
"","","","","","image-keyboard-response","44","2.0.0","45349","554","images/blue.png","f","response","f","true"
"","","","","","html-keyboard-response","45","2.0.0","45851","null","<div style=""font-size:60px;"">+</div>","null","fixation","",""
"","","","","","image-keyboard-response","46","2.0.0","46266","412","images/orange.png","j","response","j","true"
"","","","","","html-keyboard-response","47","2.0.0","47776","null","<div style=""font-size:60px;"">+</div>","null","fixation","",""
"","","","","","image-keyboard-response","48","2.0.0","48474","696","images/orange.png","j","response","j","true"
"","","","","","html-keyboard-response","49","2.0.0","48990","null","<div style=""font-size:60px;"">+</div>","null","fixation","",""
"","","","","","image-keyboard-response","50","2.0.0","49402","409","images/blue.png","f","response","f","true"
"","","","","","html-keyboard-response","51","2.0.0","50919","null","<div style=""font-size:60px;"">+</div>","null","fixation","",""
"","","","","","image-keyboard-response","52","2.0.0","51335","414","images/blue.png","f","response","f","true"
