"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","plugin_version","time_elapsed","rt","stimulus","response","task","correct_response","correct"
"true","false","[]","[]","[]","preload","0","2.0.0","84","","","","","",""
"","","","","","html-keyboard-response","1","2.0.0","4611","4524","Welcome to the experiment. Press any key to begin."," ","","",""
"","","","","","html-keyboard-response","2","2.0.0","16332","11719","
        <p>In this experiment, a circle will appear in the center 
        of the screen.</p><p>If the circle is <strong>blue</strong>, 
        press the letter F on the keyboard as fast as you can.</p>
        <p>If the circle is <strong>orange</strong>, press the letter J 
        as fast as you can.</p>
        <div style='width: 700px;'>
        <div style='float: left;'><img src='images/blue.png'></img>
        <p class='small'><strong>Press the F key</strong></p></div>
        <div style='float: right;'><img src='images/orange.png'></img>
        <p class='small'><strong>Press the J key</strong></p></div>
        </div>
        <p>Press any key to begin.</p>
      ","j","","",""
"","","","","","html-keyboard-response","3","2.0.0","19354","null","<div style=""font-size:60px;"">+</div>","null","fixation","",""
"","","","","","image-keyboard-response","4","2.0.0","20870","1512","images/orange.png","j","response","j","true"
"","","","","","html-keyboard-response","5","2.0.0","21874","null","<div style=""font-size:60px;"">+</div>","null","fixation","",""
"","","","","","image-keyboard-response","6","2.0.0","22546","670","images/blue.png","f","response","f","true"
"","","","","","html-keyboard-response","7","2.0.0","23051","null","<div style=""font-size:60px;"">+</div>","null","fixation","",""
"","","","","","image-keyboard-response","8","2.0.0","23912","859","images/orange.png","j","response","j","true"
"","","","","","html-keyboard-response","9","2.0.0","24419","null","<div style=""font-size:60px;"">+</div>","null","fixation","",""
"","","","","","image-keyboard-response","10","2.0.0","24925","504","images/blue.png","f","response","f","true"
"","","","","","html-keyboard-response","11","2.0.0","25683","null","<div style=""font-size:60px;"">+</div>","null","fixation","",""
"","","","","","image-keyboard-response","12","2.0.0","26113","427","images/blue.png","f","response","f","true"
"","","","","","html-keyboard-response","13","2.0.0","28123","null","<div style=""font-size:60px;"">+</div>","null","fixation","",""
"","","","","","image-keyboard-response","14","2.0.0","28989","865","images/orange.png","j","response","j","true"
"","","","","","html-keyboard-response","15","2.0.0","30253","null","<div style=""font-size:60px;"">+</div>","null","fixation","",""
"","","","","","image-keyboard-response","16","2.0.0","30793","538","images/blue.png","f","response","f","true"
"","","","","","html-keyboard-response","17","2.0.0","31547","null","<div style=""font-size:60px;"">+</div>","null","fixation","",""
"","","","","","image-keyboard-response","18","2.0.0","32057","509","images/orange.png","j","response","j","true"
"","","","","","html-keyboard-response","19","2.0.0","32812","null","<div style=""font-size:60px;"">+</div>","null","fixation","",""
