"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","plugin_version","time_elapsed","rt","stimulus","response","task","correct_response","correct"
"true","false","[]","[]","[]","preload","0","2.0.0","34","","","","","",""
"","","","","","html-keyboard-response","1","2.0.0","7468","7433","Welcome to the experiment. Press any key to begin."," ","","",""
"","","","","","html-keyboard-response","2","2.0.0","16803","9334","
        <p>In this experiment, a circle will appear in the center 
        of the screen.</p><p>If the circle is <strong>blue</strong>, 
        press the letter F on the keyboard as fast as you can.</p>
        <p>If the circle is <strong>orange</strong>, press the letter J 
        as fast as you can.</p>
        <div style='width: 700px;'>
        <div style='float: left;'><img src='images/blue.png'></img>
        <p class='small'><strong>Press the F key</strong></p></div>
        <div style='float: right;'><img src='images/orange.png'></img>
        <p class='small'><strong>Press the J key</strong></p></div>
        </div>
        <p>Press any key to begin.</p>
      "," ","","",""
"","","","","","html-keyboard-response","3","2.0.0","19808","null","<div style=""font-size:60px;"">+</div>","null","fixation","",""
"","","","","","image-keyboard-response","4","2.0.0","20188","374","images/blue.png","f","response","f","true"
"","","","","","html-keyboard-response","5","2.0.0","21691","null","<div style=""font-size:60px;"">+</div>","null","fixation","",""
"","","","","","image-keyboard-response","6","2.0.0","22100","407","images/orange.png","j","response","j","true"
"","","","","","html-keyboard-response","7","2.0.0","23352","null","<div style=""font-size:60px;"">+</div>","null","fixation","",""
"","","","","","image-keyboard-response","8","2.0.0","23699","345","images/blue.png","j","response","f","false"
"","","","","","html-keyboard-response","9","2.0.0","24701","null","<div style=""font-size:60px;"">+</div>","null","fixation","",""
"","","","","","image-keyboard-response","10","2.0.0","25046","343","images/orange.png","j","response","j","true"
"","","","","","html-keyboard-response","11","2.0.0","26048","null","<div style=""font-size:60px;"">+</div>","null","fixation","",""
"","","","","","image-keyboard-response","12","2.0.0","26399","349","images/blue.png","f","response","f","true"
"","","","","","html-keyboard-response","13","2.0.0","27402","null","<div style=""font-size:60px;"">+</div>","null","fixation","",""
"","","","","","image-keyboard-response","14","2.0.0","27699","296","images/orange.png","j","response","j","true"
"","","","","","html-keyboard-response","15","2.0.0","28201","null","<div style=""font-size:60px;"">+</div>","null","fixation","",""
"","","","","","image-keyboard-response","16","2.0.0","28698","496","images/orange.png","j","response","j","true"
"","","","","","html-keyboard-response","17","2.0.0","29450","null","<div style=""font-size:60px;"">+</div>","null","fixation","",""
"","","","","","image-keyboard-response","18","2.0.0","29796","344","images/blue.png","f","response","f","true"
"","","","","","html-keyboard-response","19","2.0.0","31798","null","<div style=""font-size:60px;"">+</div>","null","fixation","",""
"","","","","","image-keyboard-response","20","2.0.0","32280","481","images/orange.png","j","response","j","true"
