"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","plugin_version","time_elapsed","rt","stimulus","response","task","correct_response","correct"
"true","false","[]","[]","[]","preload","0","2.0.0","34","","","","","",""
"","","","","","html-keyboard-response","1","2.0.0","1795","1760","Welcome to the experiment. Press any key to begin."," ","","",""
"","","","","","html-keyboard-response","2","2.0.0","34685","32888","
        <p>In this experiment, a circle will appear in the center 
        of the screen.</p><p>If the circle is <strong>blue</strong>, 
        press the letter F on the keyboard as fast as you can.</p>
        <p>If the circle is <strong>orange</strong>, press the letter J 
        as fast as you can.</p>
        <div style='width: 700px;'>
        <div style='float: left;'><img src='images/blue.png'></img>
        <p class='small'><strong>Press the F key</strong></p></div>
        <div style='float: right;'><img src='images/orange.png'></img>
        <p class='small'><strong>Press the J key</strong></p></div>
        </div>
        <p>Press any key to begin.</p>
      "," ","","",""
"","","","","","html-keyboard-response","3","2.0.0","38457","null","<div style=""font-size:60px;"">+</div>","null","fixation","",""
"","","","","","image-keyboard-response","4","2.0.0","38867","405","images/blue.png","f","response","f","true"
"","","","","","html-keyboard-response","5","2.0.0","40869","null","<div style=""font-size:60px;"">+</div>","null","fixation","",""
"","","","","","image-keyboard-response","6","2.0.0","41237","365","images/orange.png","j","response","j","true"
"","","","","","html-keyboard-response","7","2.0.0","42991","null","<div style=""font-size:60px;"">+</div>","null","fixation","",""
"","","","","","image-keyboard-response","8","2.0.0","43293","300","images/orange.png","j","response","j","true"
"","","","","","html-keyboard-response","9","2.0.0","45057","null","<div style=""font-size:60px;"">+</div>","null","fixation","",""
"","","","","","image-keyboard-response","10","2.0.0","45315","255","images/blue.png","f","response","f","true"
"","","","","","html-keyboard-response","11","2.0.0","46325","null","<div style=""font-size:60px;"">+</div>","null","fixation","",""
"","","","","","image-keyboard-response","12","2.0.0","46654","326","images/orange.png","j","response","j","true"
"","","","","","html-keyboard-response","13","2.0.0","48415","null","<div style=""font-size:60px;"">+</div>","null","fixation","",""
"","","","","","image-keyboard-response","14","2.0.0","48746","328","images/blue.png","f","response","f","true"
"","","","","","html-keyboard-response","15","2.0.0","48999","null","<div style=""font-size:60px;"">+</div>","null","fixation","",""
"","","","","","image-keyboard-response","16","2.0.0","49440","439","images/blue.png","f","response","f","true"
"","","","","","html-keyboard-response","17","2.0.0","51193","null","<div style=""font-size:60px;"">+</div>","null","fixation","",""
"","","","","","image-keyboard-response","18","2.0.0","51505","309","images/orange.png","j","response","j","true"
"","","","","","html-keyboard-response","19","2.0.0","53015","null","<div style=""font-size:60px;"">+</div>","null","fixation","",""
"","","","","","image-keyboard-response","20","2.0.0","53323","306","images/blue.png","f","response","f","true"
"","","","","","html-keyboard-response","21","2.0.0","54329","null","<div style=""font-size:60px;"">+</div>","null","fixation","",""
"","","","","","image-keyboard-response","22","2.0.0","54707","375","images/orange.png","f","response","j","false"
