"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","plugin_version","time_elapsed","rt","stimulus","response","task","correct_response","correct"
"true","false","[]","[]","[]","preload","0","2.0.0","124","","","","","",""
"","","","","","html-keyboard-response","1","2.0.0","6988","6862","Welcome to the experiment. Press any key to begin.","f","","",""
"","","","","","html-keyboard-response","2","2.0.0","20785","13796","
        <p>In this experiment, a circle will appear in the center 
        of the screen.</p><p>If the circle is <strong>blue</strong>, 
        press the letter F on the keyboard as fast as you can.</p>
        <p>If the circle is <strong>orange</strong>, press the letter J 
        as fast as you can.</p>
        <div style='width: 700px;'>
        <div style='float: left;'><img src='images/blue.png'></img>
        <p class='small'><strong>Press the F key</strong></p></div>
        <div style='float: right;'><img src='images/orange.png'></img>
        <p class='small'><strong>Press the J key</strong></p></div>
        </div>
        <p>Press any key to begin.</p>
      ","f","","",""
"","","","","","html-keyboard-response","3","2.0.0","24051","null","<div style=""font-size:60px;"">+</div>","null","fixation","",""
"","","","","","image-keyboard-response","4","2.0.0","24528","473","images/blue.png","f","response","f","true"
"","","","","","html-keyboard-response","5","2.0.0","25287","null","<div style=""font-size:60px;"">+</div>","null","fixation","",""
"","","","","","image-keyboard-response","6","2.0.0","25665","376","images/orange.png","j","response","j","true"
"","","","","","html-keyboard-response","7","2.0.0","27168","null","<div style=""font-size:60px;"">+</div>","null","fixation","",""
"","","","","","image-keyboard-response","8","2.0.0","27527","357","images/blue.png","f","response","f","true"
"","","","","","html-keyboard-response","9","2.0.0","28036","null","<div style=""font-size:60px;"">+</div>","null","fixation","",""
"","","","","","image-keyboard-response","10","2.0.0","28522","483","images/orange.png","j","response","j","true"
"","","","","","html-keyboard-response","11","2.0.0","30283","null","<div style=""font-size:60px;"">+</div>","null","fixation","",""
"","","","","","image-keyboard-response","12","2.0.0","30570","285","images/orange.png","j","response","j","true"
"","","","","","html-keyboard-response","13","2.0.0","32327","null","<div style=""font-size:60px;"">+</div>","null","fixation","",""
"","","","","","image-keyboard-response","14","2.0.0","32762","433","images/blue.png","f","response","f","true"
"","","","","","html-keyboard-response","15","2.0.0","33017","null","<div style=""font-size:60px;"">+</div>","null","fixation","",""
"","","","","","image-keyboard-response","16","2.0.0","33387","368","images/blue.png","f","response","f","true"
"","","","","","html-keyboard-response","17","2.0.0","34897","null","<div style=""font-size:60px;"">+</div>","null","fixation","",""
"","","","","","image-keyboard-response","18","2.0.0","35293","393","images/orange.png","j","response","j","true"
"","","","","","html-keyboard-response","19","2.0.0","35547","null","<div style=""font-size:60px;"">+</div>","null","fixation","",""
"","","","","","image-keyboard-response","20","2.0.0","36005","456","images/blue.png","f","response","f","true"
"","","","","","html-keyboard-response","21","2.0.0","36257","null","<div style=""font-size:60px;"">+</div>","null","fixation","",""
"","","","","","image-keyboard-response","22","2.0.0","36680","420","images/orange.png","j","response","j","true"
"","","","","","html-keyboard-response","23","2.0.0","37433","null","<div style=""font-size:60px;"">+</div>","null","fixation","",""
"","","","","","image-keyboard-response","24","2.0.0","37828","393","images/blue.png","f","response","f","true"
"","","","","","html-keyboard-response","25","2.0.0","38837","null","<div style=""font-size:60px;"">+</div>","null","fixation","",""
