"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","plugin_version","time_elapsed","rt","stimulus","response","task","correct_response","correct"
"true","false","[]","[]","[]","preload","0","2.0.0","501","","","","","",""
"","","","","","html-keyboard-response","1","2.0.0","2618","2114","Welcome to the experiment. Press any key to begin."," ","","",""
"","","","","","html-keyboard-response","2","2.0.0","14787","12166","
        <p>In this experiment, a circle will appear in the center 
        of the screen.</p><p>If the circle is <strong>blue</strong>, 
        press the letter F on the keyboard as fast as you can.</p>
        <p>If the circle is <strong>orange</strong>, press the letter J 
        as fast as you can.</p>
        <div style='width: 700px;'>
        <div style='float: left;'><img src='images/blue.png'></img>
        <p class='small'><strong>Press the F key</strong></p></div>
        <div style='float: right;'><img src='images/orange.png'></img>
        <p class='small'><strong>Press the J key</strong></p></div>
        </div>
        <p>Press any key to begin.</p>
      "," ","","",""
"","","","","","html-keyboard-response","3","2.0.0","18054","null","<div style=""font-size:60px;"">+</div>","null","fixation","",""
"","","","","","image-keyboard-response","4","2.0.0","18411","354","images/orange.png","j","response","j","true"
"","","","","","html-keyboard-response","5","2.0.0","19176","null","<div style=""font-size:60px;"">+</div>","null","fixation","",""
"","","","","","image-keyboard-response","6","2.0.0","19475","297","images/blue.png","f","response","f","true"
"","","","","","html-keyboard-response","7","2.0.0","20988","null","<div style=""font-size:60px;"">+</div>","null","fixation","",""
"","","","","","image-keyboard-response","8","2.0.0","21399","410","images/blue.png","f","response","f","true"
"","","","","","html-keyboard-response","9","2.0.0","22914","null","<div style=""font-size:60px;"">+</div>","null","fixation","",""
"","","","","","image-keyboard-response","10","2.0.0","23232","316","images/orange.png","j","response","j","true"
"","","","","","html-keyboard-response","11","2.0.0","24498","null","<div style=""font-size:60px;"">+</div>","null","fixation","",""
"","","","","","image-keyboard-response","12","2.0.0","24780","281","images/blue.png","f","response","f","true"
"","","","","","html-keyboard-response","13","2.0.0","26793","null","<div style=""font-size:60px;"">+</div>","null","fixation","",""
"","","","","","image-keyboard-response","14","2.0.0","27120","325","images/orange.png","j","response","j","true"
"","","","","","html-keyboard-response","15","2.0.0","28879","null","<div style=""font-size:60px;"">+</div>","null","fixation","",""
"","","","","","image-keyboard-response","16","2.0.0","29273","392","images/orange.png","j","response","j","true"
"","","","","","html-keyboard-response","17","2.0.0","30787","null","<div style=""font-size:60px;"">+</div>","null","fixation","",""
"","","","","","image-keyboard-response","18","2.0.0","31098","309","images/blue.png","f","response","f","true"
"","","","","","html-keyboard-response","19","2.0.0","32853","null","<div style=""font-size:60px;"">+</div>","null","fixation","",""
"","","","","","image-keyboard-response","20","2.0.0","33239","384","images/blue.png","f","response","f","true"
"","","","","","html-keyboard-response","21","2.0.0","35246","null","<div style=""font-size:60px;"">+</div>","null","fixation","",""
"","","","","","image-keyboard-response","22","2.0.0","35628","380","images/orange.png","j","response","j","true"
"","","","","","html-keyboard-response","23","2.0.0","37630","null","<div style=""font-size:60px;"">+</div>","null","fixation","",""
"","","","","","image-keyboard-response","24","2.0.0","38053","421","images/orange.png","j","response","j","true"
"","","","","","html-keyboard-response","25","2.0.0","39066","null","<div style=""font-size:60px;"">+</div>","null","fixation","",""
"","","","","","image-keyboard-response","26","2.0.0","39473","406","images/blue.png","f","response","f","true"
"","","","","","html-keyboard-response","27","2.0.0","39730","null","<div style=""font-size:60px;"">+</div>","null","fixation","",""
"","","","","","image-keyboard-response","28","2.0.0","40160","428","images/blue.png","f","response","f","true"
"","","","","","html-keyboard-response","29","2.0.0","41165","null","<div style=""font-size:60px;"">+</div>","null","fixation","",""
"","","","","","image-keyboard-response","30","2.0.0","41572","406","images/orange.png","j","response","j","true"
"","","","","","html-keyboard-response","31","2.0.0","41824","null","<div style=""font-size:60px;"">+</div>","null","fixation","",""
"","","","","","image-keyboard-response","32","2.0.0","42214","389","images/orange.png","j","response","j","true"
"","","","","","html-keyboard-response","33","2.0.0","43466","null","<div style=""font-size:60px;"">+</div>","null","fixation","",""
"","","","","","image-keyboard-response","34","2.0.0","43812","345","images/blue.png","f","response","f","true"
"","","","","","html-keyboard-response","35","2.0.0","44572","null","<div style=""font-size:60px;"">+</div>","null","fixation","",""
"","","","","","image-keyboard-response","36","2.0.0","44935","361","images/orange.png","j","response","j","true"
"","","","","","html-keyboard-response","37","2.0.0","46686","null","<div style=""font-size:60px;"">+</div>","null","fixation","",""
"","","","","","image-keyboard-response","38","2.0.0","47068","380","images/blue.png","f","response","f","true"
"","","","","","html-keyboard-response","39","2.0.0","47330","null","<div style=""font-size:60px;"">+</div>","null","fixation","",""
"","","","","","image-keyboard-response","40","2.0.0","47760","429","images/orange.png","j","response","j","true"
"","","","","","html-keyboard-response","41","2.0.0","48765","null","<div style=""font-size:60px;"">+</div>","null","fixation","",""
"","","","","","image-keyboard-response","42","2.0.0","49074","307","images/blue.png","f","response","f","true"
