"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","plugin_version","time_elapsed","rt","stimulus","response","task","correct_response","correct"
"true","false","[]","[]","[]","preload","0","2.0.0","28","","","","","",""
"","","","","","html-keyboard-response","1","2.0.0","3135","3105","Welcome to the experiment. Press any key to begin."," ","","",""
"","","","","","html-keyboard-response","2","2.0.0","18282","15144","
        <p>In this experiment, a circle will appear in the center 
        of the screen.</p><p>If the circle is <strong>blue</strong>, 
        press the letter F on the keyboard as fast as you can.</p>
        <p>If the circle is <strong>orange</strong>, press the letter J 
        as fast as you can.</p>
        <div style='width: 700px;'>
        <div style='float: left;'><img src='images/blue.png'></img>
        <p class='small'><strong>Press the F key</strong></p></div>
        <div style='float: right;'><img src='images/orange.png'></img>
        <p class='small'><strong>Press the J key</strong></p></div>
        </div>
        <p>Press any key to begin.</p>
      "," ","","",""
"","","","","","html-keyboard-response","3","2.0.0","22289","null","<div style=""font-size:60px;"">+</div>","null","fixation","",""
"","","","","","image-keyboard-response","4","2.0.0","22738","445","images/orange.png","j","response","j","true"
"","","","","","html-keyboard-response","5","2.0.0","23242","null","<div style=""font-size:60px;"">+</div>","null","fixation","",""
"","","","","","image-keyboard-response","6","2.0.0","23630","386","images/blue.png","f","response","f","true"
"","","","","","html-keyboard-response","7","2.0.0","25634","null","<div style=""font-size:60px;"">+</div>","null","fixation","",""
"","","","","","image-keyboard-response","8","2.0.0","26002","366","images/blue.png","f","response","f","true"
"","","","","","html-keyboard-response","9","2.0.0","26755","null","<div style=""font-size:60px;"">+</div>","null","fixation","",""
"","","","","","image-keyboard-response","10","2.0.0","27131","374","images/orange.png","j","response","j","true"
"","","","","","html-keyboard-response","11","2.0.0","28384","null","<div style=""font-size:60px;"">+</div>","null","fixation","",""
"","","","","","image-keyboard-response","12","2.0.0","28796","409","images/orange.png","j","response","j","true"
"","","","","","html-keyboard-response","13","2.0.0","30299","null","<div style=""font-size:60px;"">+</div>","null","fixation","",""
"","","","","","image-keyboard-response","14","2.0.0","30747","445","images/blue.png","f","response","f","true"
"","","","","","html-keyboard-response","15","2.0.0","32751","null","<div style=""font-size:60px;"">+</div>","null","fixation","",""
"","","","","","image-keyboard-response","16","2.0.0","33091","338","images/orange.png","j","response","j","true"
"","","","","","html-keyboard-response","17","2.0.0","33344","null","<div style=""font-size:60px;"">+</div>","null","fixation","",""
"","","","","","image-keyboard-response","18","2.0.0","33924","577","images/blue.png","f","response","f","true"
"","","","","","html-keyboard-response","19","2.0.0","34426","null","<div style=""font-size:60px;"">+</div>","null","fixation","",""
"","","","","","image-keyboard-response","20","2.0.0","34735","306","images/orange.png","j","response","j","true"
"","","","","","html-keyboard-response","21","2.0.0","36738","null","<div style=""font-size:60px;"">+</div>","null","fixation","",""
"","","","","","image-keyboard-response","22","2.0.0","37060","319","images/blue.png","f","response","f","true"
"","","","","","html-keyboard-response","23","2.0.0","37813","null","<div style=""font-size:60px;"">+</div>","null","fixation","",""
"","","","","","image-keyboard-response","24","2.0.0","38119","304","images/orange.png","j","response","j","true"
"","","","","","html-keyboard-response","25","2.0.0","39372","null","<div style=""font-size:60px;"">+</div>","null","fixation","",""
"","","","","","image-keyboard-response","26","2.0.0","39817","443","images/blue.png","f","response","f","true"
"","","","","","html-keyboard-response","27","2.0.0","40319","null","<div style=""font-size:60px;"">+</div>","null","fixation","",""
"","","","","","image-keyboard-response","28","2.0.0","40784","462","images/blue.png","f","response","f","true"
"","","","","","html-keyboard-response","29","2.0.0","41287","null","<div style=""font-size:60px;"">+</div>","null","fixation","",""
"","","","","","image-keyboard-response","30","2.0.0","41688","398","images/orange.png","j","response","j","true"
"","","","","","html-keyboard-response","31","2.0.0","42941","null","<div style=""font-size:60px;"">+</div>","null","fixation","",""
"","","","","","image-keyboard-response","32","2.0.0","43479","535","images/orange.png","j","response","j","true"
"","","","","","html-keyboard-response","33","2.0.0","43731","null","<div style=""font-size:60px;"">+</div>","null","fixation","",""
"","","","","","image-keyboard-response","34","2.0.0","44155","421","images/blue.png","f","response","f","true"
"","","","","","html-keyboard-response","35","2.0.0","44658","null","<div style=""font-size:60px;"">+</div>","null","fixation","",""
"","","","","","image-keyboard-response","36","2.0.0","44985","324","images/orange.png","j","response","j","true"
"","","","","","html-keyboard-response","37","2.0.0","45988","null","<div style=""font-size:60px;"">+</div>","null","fixation","",""
"","","","","","image-keyboard-response","38","2.0.0","46445","455","images/blue.png","f","response","f","true"
"","","","","","html-keyboard-response","39","2.0.0","47198","null","<div style=""font-size:60px;"">+</div>","null","fixation","",""
"","","","","","image-keyboard-response","40","2.0.0","47562","362","images/orange.png","j","response","j","true"
"","","","","","html-keyboard-response","41","2.0.0","48565","null","<div style=""font-size:60px;"">+</div>","null","fixation","",""
"","","","","","image-keyboard-response","42","2.0.0","48880","314","images/blue.png","f","response","f","true"
"","","","","","html-keyboard-response","43","2.0.0","50134","null","<div style=""font-size:60px;"">+</div>","null","fixation","",""
"","","","","","image-keyboard-response","44","2.0.0","50445","309","images/blue.png","j","response","f","false"
"","","","","","html-keyboard-response","45","2.0.0","51447","null","<div style=""font-size:60px;"">+</div>","null","fixation","",""
"","","","","","image-keyboard-response","46","2.0.0","51845","397","images/orange.png","j","response","j","true"
"","","","","","html-keyboard-response","47","2.0.0","52348","null","<div style=""font-size:60px;"">+</div>","null","fixation","",""
"","","","","","image-keyboard-response","48","2.0.0","52743","394","images/blue.png","f","response","f","true"
"","","","","","html-keyboard-response","49","2.0.0","54495","null","<div style=""font-size:60px;"">+</div>","null","fixation","",""
"","","","","","image-keyboard-response","50","2.0.0","54967","470","images/orange.png","j","response","j","true"
"","","","","","html-keyboard-response","51","2.0.0","56220","null","<div style=""font-size:60px;"">+</div>","null","fixation","",""
"","","","","","image-keyboard-response","52","2.0.0","56642","420","images/orange.png","j","response","j","true"
"","","","","","html-keyboard-response","53","2.0.0","57395","null","<div style=""font-size:60px;"">+</div>","null","fixation","",""
"","","","","","image-keyboard-response","54","2.0.0","57860","463","images/blue.png","f","response","f","true"
"","","","","","html-keyboard-response","55","2.0.0","58863","null","<div style=""font-size:60px;"">+</div>","null","fixation","",""
"","","","","","image-keyboard-response","56","2.0.0","59301","437","images/blue.png","j","response","f","false"
"","","","","","html-keyboard-response","57","2.0.0","59554","null","<div style=""font-size:60px;"">+</div>","null","fixation","",""
"","","","","","image-keyboard-response","58","2.0.0","60104","548","images/orange.png","j","response","j","true"
"","","","","","html-keyboard-response","59","2.0.0","60357","null","<div style=""font-size:60px;"">+</div>","null","fixation","",""
"","","","","","image-keyboard-response","60","2.0.0","60783","424","images/blue.png","f","response","f","true"
"","","","","","html-keyboard-response","61","2.0.0","61035","null","<div style=""font-size:60px;"">+</div>","null","fixation","",""
