"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","plugin_version","time_elapsed","rt","stimulus","response","task","correct_response","correct"
"true","false","[]","[]","[]","preload","0","2.0.0","310","","","","","",""
"","","","","","html-keyboard-response","1","2.0.0","20131","19821","Welcome to the experiment. Press any key to begin."," ","","",""
"","","","","","html-keyboard-response","2","2.0.0","42523","22390","
        <p>In this experiment, a circle will appear in the center 
        of the screen.</p><p>If the circle is <strong>blue</strong>, 
        press the letter F on the keyboard as fast as you can.</p>
        <p>If the circle is <strong>orange</strong>, press the letter J 
        as fast as you can.</p>
        <div style='width: 700px;'>
        <div style='float: left;'><img src='images/blue.png'></img>
        <p class='small'><strong>Press the F key</strong></p></div>
        <div style='float: right;'><img src='images/orange.png'></img>
        <p class='small'><strong>Press the J key</strong></p></div>
        </div>
        <p>Press any key to begin.</p>
      ","j","","",""
"","","","","","html-keyboard-response","3","2.0.0","44779","null","<div style=""font-size:60px;"">+</div>","null","fixation","",""
"","","","","","image-keyboard-response","4","2.0.0","45445","661","images/blue.png","f","response","f","true"
"","","","","","html-keyboard-response","5","2.0.0","47448","null","<div style=""font-size:60px;"">+</div>","null","fixation","",""
"","","","","","image-keyboard-response","6","2.0.0","47982","533","images/orange.png","j","response","j","true"
"","","","","","html-keyboard-response","7","2.0.0","48235","null","<div style=""font-size:60px;"">+</div>","null","fixation","",""
"","","","","","image-keyboard-response","8","2.0.0","49313","1076","images/orange.png","j","response","j","true"
"","","","","","html-keyboard-response","9","2.0.0","49815","null","<div style=""font-size:60px;"">+</div>","null","fixation","",""
"","","","","","image-keyboard-response","10","2.0.0","50305","488","images/blue.png","f","response","f","true"
"","","","","","html-keyboard-response","11","2.0.0","52057","null","<div style=""font-size:60px;"">+</div>","null","fixation","",""
"","","","","","image-keyboard-response","12","2.0.0","52550","490","images/orange.png","j","response","j","true"
"","","","","","html-keyboard-response","13","2.0.0","52801","null","<div style=""font-size:60px;"">+</div>","null","fixation","",""
"","","","","","image-keyboard-response","14","2.0.0","53216","413","images/blue.png","f","response","f","true"
"","","","","","html-keyboard-response","15","2.0.0","53969","null","<div style=""font-size:60px;"">+</div>","null","fixation","",""
"","","","","","image-keyboard-response","16","2.0.0","54472","500","images/orange.png","j","response","j","true"
"","","","","","html-keyboard-response","17","2.0.0","56225","null","<div style=""font-size:60px;"">+</div>","null","fixation","",""
"","","","","","image-keyboard-response","18","2.0.0","56657","430","images/blue.png","f","response","f","true"
"","","","","","html-keyboard-response","19","2.0.0","57409","null","<div style=""font-size:60px;"">+</div>","null","fixation","",""
"","","","","","image-keyboard-response","20","2.0.0","57844","433","images/orange.png","j","response","j","true"
"","","","","","html-keyboard-response","21","2.0.0","59846","null","<div style=""font-size:60px;"">+</div>","null","fixation","",""
"","","","","","image-keyboard-response","22","2.0.0","60283","436","images/blue.png","f","response","f","true"
"","","","","","html-keyboard-response","23","2.0.0","60536","null","<div style=""font-size:60px;"">+</div>","null","fixation","",""
"","","","","","image-keyboard-response","24","2.0.0","60934","395","images/blue.png","f","response","f","true"
"","","","","","html-keyboard-response","25","2.0.0","61187","null","<div style=""font-size:60px;"">+</div>","null","fixation","",""
"","","","","","image-keyboard-response","26","2.0.0","61602","413","images/orange.png","j","response","j","true"
"","","","","","html-keyboard-response","27","2.0.0","63354","null","<div style=""font-size:60px;"">+</div>","null","fixation","",""
"","","","","","image-keyboard-response","28","2.0.0","63677","322","images/orange.png","f","response","j","false"
"","","","","","html-keyboard-response","29","2.0.0","64929","null","<div style=""font-size:60px;"">+</div>","null","fixation","",""
"","","","","","image-keyboard-response","30","2.0.0","65353","423","images/blue.png","f","response","f","true"
"","","","","","html-keyboard-response","31","2.0.0","66356","null","<div style=""font-size:60px;"">+</div>","null","fixation","",""
"","","","","","image-keyboard-response","32","2.0.0","66873","514","images/blue.png","f","response","f","true"
"","","","","","html-keyboard-response","33","2.0.0","67875","null","<div style=""font-size:60px;"">+</div>","null","fixation","",""
"","","","","","image-keyboard-response","34","2.0.0","68381","504","images/orange.png","j","response","j","true"
"","","","","","html-keyboard-response","35","2.0.0","70134","null","<div style=""font-size:60px;"">+</div>","null","fixation","",""
"","","","","","image-keyboard-response","36","2.0.0","70512","376","images/orange.png","j","response","j","true"
"","","","","","html-keyboard-response","37","2.0.0","70765","null","<div style=""font-size:60px;"">+</div>","null","fixation","",""
"","","","","","image-keyboard-response","38","2.0.0","71298","532","images/blue.png","f","response","f","true"
"","","","","","html-keyboard-response","39","2.0.0","72551","null","<div style=""font-size:60px;"">+</div>","null","fixation","",""
"","","","","","image-keyboard-response","40","2.0.0","73053","500","images/orange.png","j","response","j","true"
"","","","","","html-keyboard-response","41","2.0.0","74306","null","<div style=""font-size:60px;"">+</div>","null","fixation","",""
"","","","","","image-keyboard-response","42","2.0.0","74782","474","images/blue.png","f","response","f","true"
"","","","","","html-keyboard-response","43","2.0.0","76534","null","<div style=""font-size:60px;"">+</div>","null","fixation","",""
"","","","","","image-keyboard-response","44","2.0.0","77015","479","images/orange.png","j","response","j","true"
"","","","","","html-keyboard-response","45","2.0.0","77268","null","<div style=""font-size:60px;"">+</div>","null","fixation","",""
"","","","","","image-keyboard-response","46","2.0.0","78077","807","images/blue.png","f","response","f","true"
"","","","","","html-keyboard-response","47","2.0.0","79579","null","<div style=""font-size:60px;"">+</div>","null","fixation","",""
"","","","","","image-keyboard-response","48","2.0.0","80017","436","images/orange.png","j","response","j","true"
"","","","","","html-keyboard-response","49","2.0.0","82020","null","<div style=""font-size:60px;"">+</div>","null","fixation","",""
"","","","","","image-keyboard-response","50","2.0.0","82447","426","images/blue.png","f","response","f","true"
"","","","","","html-keyboard-response","51","2.0.0","82699","null","<div style=""font-size:60px;"">+</div>","null","fixation","",""
"","","","","","image-keyboard-response","52","2.0.0","83180","481","images/orange.png","j","response","j","true"
