"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","plugin_version","time_elapsed","rt","stimulus","response","task","correct_response","correct"
"true","false","[]","[]","[]","preload","0","2.0.0","191","","","","","",""
"","","","","","html-keyboard-response","1","2.0.0","8417","8223","Welcome to the experiment. Press any key to begin."," ","","",""
"","","","","","html-keyboard-response","2","2.0.0","16875","8454","
        <p>In this experiment, a circle will appear in the center 
        of the screen.</p><p>If the circle is <strong>blue</strong>, 
        press the letter F on the keyboard as fast as you can.</p>
        <p>If the circle is <strong>orange</strong>, press the letter J 
        as fast as you can.</p>
        <div style='width: 700px;'>
        <div style='float: left;'><img src='images/blue.png'></img>
        <p class='small'><strong>Press the F key</strong></p></div>
        <div style='float: right;'><img src='images/orange.png'></img>
        <p class='small'><strong>Press the J key</strong></p></div>
        </div>
        <p>Press any key to begin.</p>
      ","f","","",""
"","","","","","html-keyboard-response","3","2.0.0","19641","null","<div style=""font-size:60px;"">+</div>","null","fixation","",""
"","","","","","image-keyboard-response","4","2.0.0","20205","558","images/orange.png","j","response","j","true"
"","","","","","html-keyboard-response","5","2.0.0","22223","null","<div style=""font-size:60px;"">+</div>","null","fixation","",""
"","","","","","image-keyboard-response","6","2.0.0","22653","426","images/blue.png","f","response","f","true"
"","","","","","html-keyboard-response","7","2.0.0","24659","null","<div style=""font-size:60px;"">+</div>","null","fixation","",""
"","","","","","image-keyboard-response","8","2.0.0","24915","252","images/blue.png","j","response","f","false"
"","","","","","html-keyboard-response","9","2.0.0","25173","null","<div style=""font-size:60px;"">+</div>","null","fixation","",""
"","","","","","image-keyboard-response","10","2.0.0","25979","803","images/orange.png","j","response","j","true"
"","","","","","html-keyboard-response","11","2.0.0","27984","null","<div style=""font-size:60px;"">+</div>","null","fixation","",""
"","","","","","image-keyboard-response","12","2.0.0","28458","471","images/orange.png","j","response","j","true"
"","","","","","html-keyboard-response","13","2.0.0","28714","null","<div style=""font-size:60px;"">+</div>","null","fixation","",""
"","","","","","image-keyboard-response","14","2.0.0","29230","513","images/blue.png","f","response","f","true"
"","","","","","html-keyboard-response","15","2.0.0","29740","null","<div style=""font-size:60px;"">+</div>","null","fixation","",""
"","","","","","image-keyboard-response","16","2.0.0","30200","457","images/blue.png","f","response","f","true"
"","","","","","html-keyboard-response","17","2.0.0","30709","null","<div style=""font-size:60px;"">+</div>","null","fixation","",""
"","","","","","image-keyboard-response","18","2.0.0","31127","416","images/orange.png","j","response","j","true"
"","","","","","html-keyboard-response","19","2.0.0","32382","null","<div style=""font-size:60px;"">+</div>","null","fixation","",""
"","","","","","image-keyboard-response","20","2.0.0","32844","459","images/blue.png","f","response","f","true"
"","","","","","html-keyboard-response","21","2.0.0","34848","null","<div style=""font-size:60px;"">+</div>","null","fixation","",""
