"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","plugin_version","time_elapsed","rt","stimulus","response","task","correct_response","correct"
"true","false","[]","[]","[]","preload","0","2.0.0","61","","","","","",""
"","","","","","html-keyboard-response","1","2.0.0","40577","40513","Welcome to the experiment. Press any key to begin."," ","","",""
"","","","","","html-keyboard-response","2","2.0.0","68390","27811","
        <p>In this experiment, a circle will appear in the center 
        of the screen.</p><p>If the circle is <strong>blue</strong>, 
        press the letter F on the keyboard as fast as you can.</p>
        <p>If the circle is <strong>orange</strong>, press the letter J 
        as fast as you can.</p>
        <div style='width: 700px;'>
        <div style='float: left;'><img src='images/blue.png'></img>
        <p class='small'><strong>Press the F key</strong></p></div>
        <div style='float: right;'><img src='images/orange.png'></img>
        <p class='small'><strong>Press the J key</strong></p></div>
        </div>
        <p>Press any key to begin.</p>
      "," ","","",""
"","","","","","html-keyboard-response","3","2.0.0","70661","null","<div style=""font-size:60px;"">+</div>","null","fixation","",""
"","","","","","image-keyboard-response","4","2.0.0","71207","540","images/blue.png","f","response","f","true"
"","","","","","html-keyboard-response","5","2.0.0","72720","null","<div style=""font-size:60px;"">+</div>","null","fixation","",""
"","","","","","image-keyboard-response","6","2.0.0","73143","421","images/orange.png","j","response","j","true"
"","","","","","html-keyboard-response","7","2.0.0","74907","null","<div style=""font-size:60px;"">+</div>","null","fixation","",""
"","","","","","image-keyboard-response","8","2.0.0","75198","289","images/blue.png","f","response","f","true"
"","","","","","html-keyboard-response","9","2.0.0","75951","null","<div style=""font-size:60px;"">+</div>","null","fixation","",""
"","","","","","image-keyboard-response","10","2.0.0","76271","318","images/orange.png","f","response","j","false"
"","","","","","html-keyboard-response","11","2.0.0","77276","null","<div style=""font-size:60px;"">+</div>","null","fixation","",""
"","","","","","image-keyboard-response","12","2.0.0","77647","368","images/blue.png","f","response","f","true"
"","","","","","html-keyboard-response","13","2.0.0","78912","null","<div style=""font-size:60px;"">+</div>","null","fixation","",""
"","","","","","image-keyboard-response","14","2.0.0","79167","253","images/orange.png","j","response","j","true"
"","","","","","html-keyboard-response","15","2.0.0","79924","null","<div style=""font-size:60px;"">+</div>","null","fixation","",""
"","","","","","image-keyboard-response","16","2.0.0","80295","369","images/blue.png","f","response","f","true"
"","","","","","html-keyboard-response","17","2.0.0","80560","null","<div style=""font-size:60px;"">+</div>","null","fixation","",""
"","","","","","image-keyboard-response","18","2.0.0","80983","420","images/orange.png","j","response","j","true"
"","","","","","html-keyboard-response","19","2.0.0","82247","null","<div style=""font-size:60px;"">+</div>","null","fixation","",""
"","","","","","image-keyboard-response","20","2.0.0","82679","430","images/blue.png","f","response","f","true"
