"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","plugin_version","time_elapsed","rt","stimulus","response","task","correct_response","correct"
"true","false","[]","[]","[]","preload","0","2.0.0","66","","","","","",""
"","","","","","html-keyboard-response","1","2.0.0","3395","3327","Welcome to the experiment. Press any key to begin.","Enter","","",""
"","","","","","html-keyboard-response","2","2.0.0","15705","12307","
        <p>In this experiment, a circle will appear in the center 
        of the screen.</p><p>If the circle is <strong>blue</strong>, 
        press the letter F on the keyboard as fast as you can.</p>
        <p>If the circle is <strong>orange</strong>, press the letter J 
        as fast as you can.</p>
        <div style='width: 700px;'>
        <div style='float: left;'><img src='images/blue.png'></img>
        <p class='small'><strong>Press the F key</strong></p></div>
        <div style='float: right;'><img src='images/orange.png'></img>
        <p class='small'><strong>Press the J key</strong></p></div>
        </div>
        <p>Press any key to begin.</p>
      ","f","","",""
"","","","","","html-keyboard-response","3","2.0.0","18461","null","<div style=""font-size:60px;"">+</div>","null","fixation","",""
"","","","","","image-keyboard-response","4","2.0.0","18937","468","images/orange.png","f","response","j","false"
"","","","","","html-keyboard-response","5","2.0.0","20201","null","<div style=""font-size:60px;"">+</div>","null","fixation","",""
"","","","","","image-keyboard-response","6","2.0.0","21078","875","images/blue.png","j","response","f","false"
"","","","","","html-keyboard-response","7","2.0.0","21341","null","<div style=""font-size:60px;"">+</div>","null","fixation","",""
"","","","","","image-keyboard-response","8","2.0.0","23429","2084","images/orange.png","j","response","j","true"
"","","","","","html-keyboard-response","9","2.0.0","25184","null","<div style=""font-size:60px;"">+</div>","null","fixation","",""
"","","","","","image-keyboard-response","10","2.0.0","25521","336","images/blue.png","f","response","f","true"
"","","","","","html-keyboard-response","11","2.0.0","27030","null","<div style=""font-size:60px;"">+</div>","null","fixation","",""
"","","","","","image-keyboard-response","12","2.0.0","27492","460","images/blue.png","f","response","f","true"
"","","","","","html-keyboard-response","13","2.0.0","29508","null","<div style=""font-size:60px;"">+</div>","null","fixation","",""
"","","","","","image-keyboard-response","14","2.0.0","29813","301","images/orange.png","f","response","j","false"
"","","","","","html-keyboard-response","15","2.0.0","31072","null","<div style=""font-size:60px;"">+</div>","null","fixation","",""
"","","","","","image-keyboard-response","16","2.0.0","31725","652","images/orange.png","j","response","j","true"
