"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","plugin_version","time_elapsed","rt","stimulus","response","task","correct_response","correct"
"true","false","[]","[]","[]","preload","0","2.0.0","8","","","","","",""
"","","","","","html-keyboard-response","1","2.0.0","2531","2523","Welcome to the experiment. Press any key to begin."," ","","",""
"","","","","","html-keyboard-response","2","2.0.0","2992","459","
        <p>In this experiment, a circle will appear in the center 
        of the screen.</p><p>If the circle is <strong>blue</strong>, 
        press the letter F on the keyboard as fast as you can.</p>
        <p>If the circle is <strong>orange</strong>, press the letter J 
        as fast as you can.</p>
        <div style='width: 700px;'>
        <div style='float: left;'><img src='images/blue.png'></img>
        <p class='small'><strong>Press the F key</strong></p></div>
        <div style='float: right;'><img src='images/orange.png'></img>
        <p class='small'><strong>Press the J key</strong></p></div>
        </div>
        <p>Press any key to begin.</p>
      "," ","","",""
"","","","","","html-keyboard-response","3","2.0.0","5748","null","<div style=""font-size:60px;"">+</div>","null","fixation","",""
"","","","","","image-keyboard-response","4","2.0.0","6070","317","images/orange.png","j","response","j","true"
"","","","","","html-keyboard-response","5","2.0.0","7322","null","<div style=""font-size:60px;"">+</div>","null","fixation","",""
"","","","","","image-keyboard-response","6","2.0.0","7598","274","images/blue.png","f","response","f","true"
"","","","","","html-keyboard-response","7","2.0.0","9101","null","<div style=""font-size:60px;"">+</div>","null","fixation","",""
"","","","","","image-keyboard-response","8","2.0.0","9539","436","images/orange.png","j","response","j","true"
"","","","","","html-keyboard-response","9","2.0.0","10292","null","<div style=""font-size:60px;"">+</div>","null","fixation","",""
"","","","","","image-keyboard-response","10","2.0.0","10669","375","images/blue.png","f","response","f","true"
"","","","","","html-keyboard-response","11","2.0.0","12171","null","<div style=""font-size:60px;"">+</div>","null","fixation","",""
"","","","","","image-keyboard-response","12","2.0.0","12567","393","images/orange.png","j","response","j","true"
"","","","","","html-keyboard-response","13","2.0.0","13069","null","<div style=""font-size:60px;"">+</div>","null","fixation","",""
"","","","","","image-keyboard-response","14","2.0.0","13559","488","images/blue.png","f","response","f","true"
"","","","","","html-keyboard-response","15","2.0.0","13811","null","<div style=""font-size:60px;"">+</div>","null","fixation","",""
"","","","","","image-keyboard-response","16","2.0.0","14327","514","images/blue.png","f","response","f","true"
"","","","","","html-keyboard-response","17","2.0.0","16330","null","<div style=""font-size:60px;"">+</div>","null","fixation","",""
"","","","","","image-keyboard-response","18","2.0.0","16752","420","images/orange.png","j","response","j","true"
"","","","","","html-keyboard-response","19","2.0.0","17754","null","<div style=""font-size:60px;"">+</div>","null","fixation","",""
"","","","","","image-keyboard-response","20","2.0.0","18060","303","images/blue.png","f","response","f","true"
"","","","","","html-keyboard-response","21","2.0.0","18812","null","<div style=""font-size:60px;"">+</div>","null","fixation","",""
"","","","","","image-keyboard-response","22","2.0.0","19152","338","images/orange.png","j","response","j","true"
"","","","","","html-keyboard-response","23","2.0.0","20155","null","<div style=""font-size:60px;"">+</div>","null","fixation","",""
"","","","","","image-keyboard-response","24","2.0.0","20523","366","images/orange.png","j","response","j","true"
"","","","","","html-keyboard-response","25","2.0.0","20775","null","<div style=""font-size:60px;"">+</div>","null","fixation","",""
"","","","","","image-keyboard-response","26","2.0.0","21301","524","images/blue.png","f","response","f","true"
"","","","","","html-keyboard-response","27","2.0.0","22303","null","<div style=""font-size:60px;"">+</div>","null","fixation","",""
"","","","","","image-keyboard-response","28","2.0.0","22685","381","images/orange.png","j","response","j","true"
"","","","","","html-keyboard-response","29","2.0.0","23937","null","<div style=""font-size:60px;"">+</div>","null","fixation","",""
"","","","","","image-keyboard-response","30","2.0.0","24320","381","images/blue.png","f","response","f","true"
"","","","","","html-keyboard-response","31","2.0.0","26073","null","<div style=""font-size:60px;"">+</div>","null","fixation","",""
"","","","","","image-keyboard-response","32","2.0.0","26342","267","images/blue.png","j","response","f","false"
"","","","","","html-keyboard-response","33","2.0.0","26843","null","<div style=""font-size:60px;"">+</div>","null","fixation","",""
"","","","","","image-keyboard-response","34","2.0.0","27919","1074","images/orange.png","j","response","j","true"
"","","","","","html-keyboard-response","35","2.0.0","29421","null","<div style=""font-size:60px;"">+</div>","null","fixation","",""
"","","","","","image-keyboard-response","36","2.0.0","30509","1086","images/orange.png","j","response","j","true"
"","","","","","html-keyboard-response","37","2.0.0","31761","null","<div style=""font-size:60px;"">+</div>","null","fixation","",""
"","","","","","image-keyboard-response","38","2.0.0","32102","339","images/blue.png","f","response","f","true"
"","","","","","html-keyboard-response","39","2.0.0","32855","null","<div style=""font-size:60px;"">+</div>","null","fixation","",""
"","","","","","image-keyboard-response","40","2.0.0","33473","616","images/orange.png","j","response","j","true"
"","","","","","html-keyboard-response","41","2.0.0","34225","null","<div style=""font-size:60px;"">+</div>","null","fixation","",""
"","","","","","image-keyboard-response","42","2.0.0","34613","386","images/blue.png","f","response","f","true"
"","","","","","html-keyboard-response","43","2.0.0","35616","null","<div style=""font-size:60px;"">+</div>","null","fixation","",""
"","","","","","image-keyboard-response","44","2.0.0","36035","417","images/blue.png","f","response","f","true"
"","","","","","html-keyboard-response","45","2.0.0","36536","null","<div style=""font-size:60px;"">+</div>","null","fixation","",""
"","","","","","image-keyboard-response","46","2.0.0","37053","515","images/orange.png","j","response","j","true"
"","","","","","html-keyboard-response","47","2.0.0","37555","null","<div style=""font-size:60px;"">+</div>","null","fixation","",""
"","","","","","image-keyboard-response","48","2.0.0","38029","472","images/orange.png","j","response","j","true"
"","","","","","html-keyboard-response","49","2.0.0","39780","null","<div style=""font-size:60px;"">+</div>","null","fixation","",""
"","","","","","image-keyboard-response","50","2.0.0","40270","488","images/blue.png","f","response","f","true"
"","","","","","html-keyboard-response","51","2.0.0","41523","null","<div style=""font-size:60px;"">+</div>","null","fixation","",""
"","","","","","image-keyboard-response","52","2.0.0","41989","464","images/orange.png","j","response","j","true"
"","","","","","html-keyboard-response","53","2.0.0","43742","null","<div style=""font-size:60px;"">+</div>","null","fixation","",""
"","","","","","image-keyboard-response","54","2.0.0","44096","352","images/blue.png","f","response","f","true"
"","","","","","html-keyboard-response","55","2.0.0","45599","null","<div style=""font-size:60px;"">+</div>","null","fixation","",""
"","","","","","image-keyboard-response","56","2.0.0","46051","449","images/blue.png","f","response","f","true"
"","","","","","html-keyboard-response","57","2.0.0","46303","null","<div style=""font-size:60px;"">+</div>","null","fixation","",""
"","","","","","image-keyboard-response","58","2.0.0","46800","495","images/orange.png","j","response","j","true"
"","","","","","html-keyboard-response","59","2.0.0","48553","null","<div style=""font-size:60px;"">+</div>","null","fixation","",""
"","","","","","image-keyboard-response","60","2.0.0","48990","436","images/blue.png","f","response","f","true"
"","","","","","html-keyboard-response","61","2.0.0","50744","null","<div style=""font-size:60px;"">+</div>","null","fixation","",""
"","","","","","image-keyboard-response","62","2.0.0","51108","363","images/orange.png","j","response","j","true"
"","","","","","html-keyboard-response","63","2.0.0","53111","null","<div style=""font-size:60px;"">+</div>","null","fixation","",""
"","","","","","image-keyboard-response","64","2.0.0","53496","383","images/blue.png","j","response","f","false"
"","","","","","html-keyboard-response","65","2.0.0","53997","null","<div style=""font-size:60px;"">+</div>","null","fixation","",""
"","","","","","image-keyboard-response","66","2.0.0","54531","532","images/orange.png","j","response","j","true"
"","","","","","html-keyboard-response","67","2.0.0","56034","null","<div style=""font-size:60px;"">+</div>","null","fixation","",""
"","","","","","image-keyboard-response","68","2.0.0","56565","529","images/orange.png","j","response","j","true"
"","","","","","html-keyboard-response","69","2.0.0","58317","null","<div style=""font-size:60px;"">+</div>","null","fixation","",""
"","","","","","image-keyboard-response","70","2.0.0","58708","389","images/blue.png","f","response","f","true"
"","","","","","html-keyboard-response","71","2.0.0","60210","null","<div style=""font-size:60px;"">+</div>","null","fixation","",""
"","","","","","image-keyboard-response","72","2.0.0","60622","410","images/orange.png","j","response","j","true"
"","","","","","html-keyboard-response","73","2.0.0","61375","null","<div style=""font-size:60px;"">+</div>","null","fixation","",""
"","","","","","image-keyboard-response","74","2.0.0","61867","490","images/blue.png","f","response","f","true"
"","","","","","html-keyboard-response","75","2.0.0","63620","null","<div style=""font-size:60px;"">+</div>","null","fixation","",""
"","","","","","image-keyboard-response","76","2.0.0","64116","494","images/blue.png","f","response","f","true"
"","","","","","html-keyboard-response","77","2.0.0","64618","null","<div style=""font-size:60px;"">+</div>","null","fixation","",""
"","","","","","image-keyboard-response","78","2.0.0","65072","453","images/orange.png","j","response","j","true"
"","","","","","html-keyboard-response","79","2.0.0","65574","null","<div style=""font-size:60px;"">+</div>","null","fixation","",""
"","","","","","image-keyboard-response","80","2.0.0","65946","370","images/orange.png","j","response","j","true"
"","","","","","html-keyboard-response","81","2.0.0","66448","null","<div style=""font-size:60px;"">+</div>","null","fixation","",""
"","","","","","image-keyboard-response","82","2.0.0","66801","351","images/blue.png","f","response","f","true"
"","","","","","html-keyboard-response","83","2.0.0","68303","null","<div style=""font-size:60px;"">+</div>","null","fixation","",""
"","","","","","image-keyboard-response","84","2.0.0","68656","352","images/orange.png","j","response","j","true"
"","","","","","html-keyboard-response","85","2.0.0","68909","null","<div style=""font-size:60px;"">+</div>","null","fixation","",""
"","","","","","image-keyboard-response","86","2.0.0","69500","590","images/blue.png","f","response","f","true"
"","","","","","html-keyboard-response","87","2.0.0","69753","null","<div style=""font-size:60px;"">+</div>","null","fixation","",""
"","","","","","image-keyboard-response","88","2.0.0","70243","488","images/orange.png","j","response","j","true"
"","","","","","html-keyboard-response","89","2.0.0","71745","null","<div style=""font-size:60px;"">+</div>","null","fixation","",""
"","","","","","image-keyboard-response","90","2.0.0","72155","408","images/blue.png","f","response","f","true"
"","","","","","html-keyboard-response","91","2.0.0","74157","null","<div style=""font-size:60px;"">+</div>","null","fixation","",""
"","","","","","image-keyboard-response","92","2.0.0","74659","500","images/blue.png","f","response","f","true"
"","","","","","html-keyboard-response","93","2.0.0","75661","null","<div style=""font-size:60px;"">+</div>","null","fixation","",""
"","","","","","image-keyboard-response","94","2.0.0","75967","304","images/orange.png","j","response","j","true"
"","","","","","html-keyboard-response","95","2.0.0","76720","null","<div style=""font-size:60px;"">+</div>","null","fixation","",""
"","","","","","image-keyboard-response","96","2.0.0","77017","295","images/blue.png","f","response","f","true"
"","","","","","html-keyboard-response","97","2.0.0","78019","null","<div style=""font-size:60px;"">+</div>","null","fixation","",""
"","","","","","image-keyboard-response","98","2.0.0","78514","493","images/orange.png","j","response","j","true"
"","","","","","html-keyboard-response","99","2.0.0","80016","null","<div style=""font-size:60px;"">+</div>","null","fixation","",""
"","","","","","image-keyboard-response","100","2.0.0","80442","423","images/blue.png","f","response","f","true"
"","","","","","html-keyboard-response","101","2.0.0","82444","null","<div style=""font-size:60px;"">+</div>","null","fixation","",""
"","","","","","image-keyboard-response","102","2.0.0","82843","397","images/orange.png","j","response","j","true"
"","","","","","html-keyboard-response","103","2.0.0","91222","8376","<p>You responded correctly on 96% of the trials.</p>
          <p>Your average response time was 453ms.</p>
          <p>Press any key to complete the experiment. Thank you!</p>"," ","","",""
