"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","plugin_version","time_elapsed","rt","stimulus","response","task","correct_response","correct"
"true","false","[]","[]","[]","preload","0","2.0.0","22","","","","","",""
"","","","","","html-keyboard-response","1","2.0.0","4631","4608","Welcome to the experiment. Press any key to begin."," ","","",""
"","","","","","html-keyboard-response","2","2.0.0","9968","5335","
        <p>In this experiment, a circle will appear in the center 
        of the screen.</p><p>If the circle is <strong>blue</strong>, 
        press the letter F on the keyboard as fast as you can.</p>
        <p>If the circle is <strong>orange</strong>, press the letter J 
        as fast as you can.</p>
        <div style='width: 700px;'>
        <div style='float: left;'><img src='images/blue.png'></img>
        <p class='small'><strong>Press the F key</strong></p></div>
        <div style='float: right;'><img src='images/orange.png'></img>
        <p class='small'><strong>Press the J key</strong></p></div>
        </div>
        <p>Press any key to begin.</p>
      ","f","","",""
"","","","","","html-keyboard-response","3","2.0.0","12734","null","<div style=""font-size:60px;"">+</div>","null","fixation","",""
"","","","","","image-keyboard-response","4","2.0.0","13636","900","images/orange.png","j","response","j","true"
"","","","","","html-keyboard-response","5","2.0.0","15643","null","<div style=""font-size:60px;"">+</div>","null","fixation","",""
"","","","","","image-keyboard-response","6","2.0.0","16043","398","images/blue.png","f","response","f","true"
"","","","","","html-keyboard-response","7","2.0.0","17049","null","<div style=""font-size:60px;"">+</div>","null","fixation","",""
"","","","","","image-keyboard-response","8","2.0.0","17497","445","images/blue.png","f","response","f","true"
"","","","","","html-keyboard-response","9","2.0.0","18004","null","<div style=""font-size:60px;"">+</div>","null","fixation","",""
"","","","","","image-keyboard-response","10","2.0.0","18490","483","images/orange.png","j","response","j","true"
"","","","","","html-keyboard-response","11","2.0.0","18749","null","<div style=""font-size:60px;"">+</div>","null","fixation","",""
"","","","","","image-keyboard-response","12","2.0.0","19229","478","images/blue.png","f","response","f","true"
"","","","","","html-keyboard-response","13","2.0.0","20740","null","<div style=""font-size:60px;"">+</div>","null","fixation","",""
"","","","","","image-keyboard-response","14","2.0.0","21037","296","images/orange.png","j","response","j","true"
"","","","","","html-keyboard-response","15","2.0.0","22541","null","<div style=""font-size:60px;"">+</div>","null","fixation","",""
"","","","","","image-keyboard-response","16","2.0.0","22987","445","images/orange.png","j","response","j","true"
"","","","","","html-keyboard-response","17","2.0.0","23996","null","<div style=""font-size:60px;"">+</div>","null","fixation","",""
"","","","","","image-keyboard-response","18","2.0.0","24471","473","images/blue.png","f","response","f","true"
"","","","","","html-keyboard-response","19","2.0.0","24981","null","<div style=""font-size:60px;"">+</div>","null","fixation","",""
"","","","","","image-keyboard-response","20","2.0.0","25368","386","images/orange.png","j","response","j","true"
"","","","","","html-keyboard-response","21","2.0.0","26127","null","<div style=""font-size:60px;"">+</div>","null","fixation","",""
"","","","","","image-keyboard-response","22","2.0.0","26414","285","images/blue.png","f","response","f","true"
"","","","","","html-keyboard-response","23","2.0.0","27179","null","<div style=""font-size:60px;"">+</div>","null","fixation","",""
"","","","","","image-keyboard-response","24","2.0.0","27858","678","images/blue.png","f","response","f","true"
"","","","","","html-keyboard-response","25","2.0.0","29374","null","<div style=""font-size:60px;"">+</div>","null","fixation","",""
"","","","","","image-keyboard-response","26","2.0.0","29668","292","images/orange.png","j","response","j","true"
"","","","","","html-keyboard-response","27","2.0.0","30935","null","<div style=""font-size:60px;"">+</div>","null","fixation","",""
"","","","","","image-keyboard-response","28","2.0.0","31352","415","images/orange.png","j","response","j","true"
"","","","","","html-keyboard-response","29","2.0.0","32110","null","<div style=""font-size:60px;"">+</div>","null","fixation","",""
"","","","","","image-keyboard-response","30","2.0.0","32694","582","images/blue.png","f","response","f","true"
"","","","","","html-keyboard-response","31","2.0.0","34710","null","<div style=""font-size:60px;"">+</div>","null","fixation","",""
"","","","","","image-keyboard-response","32","2.0.0","35092","381","images/orange.png","j","response","j","true"
"","","","","","html-keyboard-response","33","2.0.0","35603","null","<div style=""font-size:60px;"">+</div>","null","fixation","",""
"","","","","","image-keyboard-response","34","2.0.0","36102","497","images/blue.png","f","response","f","true"
"","","","","","html-keyboard-response","35","2.0.0","37117","null","<div style=""font-size:60px;"">+</div>","null","fixation","",""
"","","","","","image-keyboard-response","36","2.0.0","37615","496","images/orange.png","j","response","j","true"
"","","","","","html-keyboard-response","37","2.0.0","38121","null","<div style=""font-size:60px;"">+</div>","null","fixation","",""
"","","","","","image-keyboard-response","38","2.0.0","38686","564","images/blue.png","f","response","f","true"
"","","","","","html-keyboard-response","39","2.0.0","39941","null","<div style=""font-size:60px;"">+</div>","null","fixation","",""
"","","","","","image-keyboard-response","40","2.0.0","40329","386","images/blue.png","f","response","f","true"
"","","","","","html-keyboard-response","41","2.0.0","41087","null","<div style=""font-size:60px;"">+</div>","null","fixation","",""
"","","","","","image-keyboard-response","42","2.0.0","41617","528","images/orange.png","j","response","j","true"
"","","","","","html-keyboard-response","43","2.0.0","43619","null","<div style=""font-size:60px;"">+</div>","null","fixation","",""
"","","","","","image-keyboard-response","44","2.0.0","44229","608","images/blue.png","f","response","f","true"
"","","","","","html-keyboard-response","45","2.0.0","45489","null","<div style=""font-size:60px;"">+</div>","null","fixation","",""
"","","","","","image-keyboard-response","46","2.0.0","46079","588","images/orange.png","j","response","j","true"
"","","","","","html-keyboard-response","47","2.0.0","46588","null","<div style=""font-size:60px;"">+</div>","null","fixation","",""
