"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","plugin_version","time_elapsed","rt","stimulus","response","task","correct_response","correct"
"true","false","[]","[]","[]","preload","0","2.0.0","79","","","","","",""
"","","","","","html-keyboard-response","1","2.0.0","3424","3354","Welcome to the experiment. Press any key to begin.","f","","",""
"","","","","","html-keyboard-response","2","2.0.0","16700","13273","
        <p>In this experiment, a circle will appear in the center 
        of the screen.</p><p>If the circle is <strong>blue</strong>, 
        press the letter F on the keyboard as fast as you can.</p>
        <p>If the circle is <strong>orange</strong>, press the letter J 
        as fast as you can.</p>
        <div style='width: 700px;'>
        <div style='float: left;'><img src='images/blue.png'></img>
        <p class='small'><strong>Press the F key</strong></p></div>
        <div style='float: right;'><img src='images/orange.png'></img>
        <p class='small'><strong>Press the J key</strong></p></div>
        </div>
        <p>Press any key to begin.</p>
      "," ","","",""
"","","","","","html-keyboard-response","3","2.0.0","19960","null","<div style=""font-size:60px;"">+</div>","null","fixation","",""
"","","","","","image-keyboard-response","4","2.0.0","20332","366","images/blue.png","f","response","f","true"
"","","","","","html-keyboard-response","5","2.0.0","21340","null","<div style=""font-size:60px;"">+</div>","null","fixation","",""
"","","","","","image-keyboard-response","6","2.0.0","21648","304","images/orange.png","j","response","j","true"
"","","","","","html-keyboard-response","7","2.0.0","22152","null","<div style=""font-size:60px;"">+</div>","null","fixation","",""
"","","","","","image-keyboard-response","8","2.0.0","22667","511","images/orange.png","j","response","j","true"
"","","","","","html-keyboard-response","9","2.0.0","23674","null","<div style=""font-size:60px;"">+</div>","null","fixation","",""
"","","","","","image-keyboard-response","10","2.0.0","24060","384","images/blue.png","f","response","f","true"
"","","","","","html-keyboard-response","11","2.0.0","25065","null","<div style=""font-size:60px;"">+</div>","null","fixation","",""
"","","","","","image-keyboard-response","12","2.0.0","25371","304","images/orange.png","j","response","j","true"
"","","","","","html-keyboard-response","13","2.0.0","25636","null","<div style=""font-size:60px;"">+</div>","null","fixation","",""
"","","","","","image-keyboard-response","14","2.0.0","26170","533","images/blue.png","f","response","f","true"
"","","","","","html-keyboard-response","15","2.0.0","28184","null","<div style=""font-size:60px;"">+</div>","null","fixation","",""
"","","","","","image-keyboard-response","16","2.0.0","28570","384","images/orange.png","j","response","j","true"
"","","","","","html-keyboard-response","17","2.0.0","29579","null","<div style=""font-size:60px;"">+</div>","null","fixation","",""
"","","","","","image-keyboard-response","18","2.0.0","29823","242","images/blue.png","f","response","f","true"
"","","","","","html-keyboard-response","19","2.0.0","31090","null","<div style=""font-size:60px;"">+</div>","null","fixation","",""
"","","","","","image-keyboard-response","20","2.0.0","31380","289","images/blue.png","j","response","f","false"
"","","","","","html-keyboard-response","21","2.0.0","31647","null","<div style=""font-size:60px;"">+</div>","null","fixation","",""
"","","","","","image-keyboard-response","22","2.0.0","32382","733","images/orange.png","j","response","j","true"
"","","","","","html-keyboard-response","23","2.0.0","34397","null","<div style=""font-size:60px;"">+</div>","null","fixation","",""
"","","","","","image-keyboard-response","24","2.0.0","34952","552","images/blue.png","f","response","f","true"
"","","","","","html-keyboard-response","25","2.0.0","35209","null","<div style=""font-size:60px;"">+</div>","null","fixation","",""
"","","","","","image-keyboard-response","26","2.0.0","35704","493","images/orange.png","j","response","j","true"
"","","","","","html-keyboard-response","27","2.0.0","36714","null","<div style=""font-size:60px;"">+</div>","null","fixation","",""
"","","","","","image-keyboard-response","28","2.0.0","37210","495","images/blue.png","f","response","f","true"
"","","","","","html-keyboard-response","29","2.0.0","38962","null","<div style=""font-size:60px;"">+</div>","null","fixation","",""
