"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","plugin_version","time_elapsed","rt","stimulus","response","task","correct_response","correct"
"true","false","[]","[]","[]","preload","0","2.0.0","248","","","","","",""
"","","","","","html-keyboard-response","1","2.0.0","3889","3639","Welcome to the experiment. Press any key to begin."," ","","",""
"","","","","","html-keyboard-response","2","2.0.0","6125","2234","
        <p>In this experiment, a circle will appear in the center 
        of the screen.</p><p>If the circle is <strong>blue</strong>, 
        press the letter F on the keyboard as fast as you can.</p>
        <p>If the circle is <strong>orange</strong>, press the letter J 
        as fast as you can.</p>
        <div style='width: 700px;'>
        <div style='float: left;'><img src='images/blue.png'></img>
        <p class='small'><strong>Press the F key</strong></p></div>
        <div style='float: right;'><img src='images/orange.png'></img>
        <p class='small'><strong>Press the J key</strong></p></div>
        </div>
        <p>Press any key to begin.</p>
      "," ","","",""
"","","","","","html-keyboard-response","3","2.0.0","9130","null","<div style=""font-size:60px;"">+</div>","null","fixation","",""
"","","","","","image-keyboard-response","4","2.0.0","9463","329","images/orange.png","j","response","j","true"
"","","","","","html-keyboard-response","5","2.0.0","11465","null","<div style=""font-size:60px;"">+</div>","null","fixation","",""
"","","","","","image-keyboard-response","6","2.0.0","11736","268","images/blue.png","f","response","f","true"
"","","","","","html-keyboard-response","7","2.0.0","13489","null","<div style=""font-size:60px;"">+</div>","null","fixation","",""
"","","","","","image-keyboard-response","8","2.0.0","13753","261","images/blue.png","f","response","f","true"
"","","","","","html-keyboard-response","9","2.0.0","15006","null","<div style=""font-size:60px;"">+</div>","null","fixation","",""
"","","","","","image-keyboard-response","10","2.0.0","15357","348","images/orange.png","f","response","j","false"
"","","","","","html-keyboard-response","11","2.0.0","17110","null","<div style=""font-size:60px;"">+</div>","null","fixation","",""
"","","","","","image-keyboard-response","12","2.0.0","17406","295","images/orange.png","f","response","j","false"
"","","","","","html-keyboard-response","13","2.0.0","19409","null","<div style=""font-size:60px;"">+</div>","null","fixation","",""
"","","","","","image-keyboard-response","14","2.0.0","19807","395","images/blue.png","f","response","f","true"
"","","","","","html-keyboard-response","15","2.0.0","20559","null","<div style=""font-size:60px;"">+</div>","null","fixation","",""
"","","","","","image-keyboard-response","16","2.0.0","21105","544","images/orange.png","j","response","j","true"
"","","","","","html-keyboard-response","17","2.0.0","22357","null","<div style=""font-size:60px;"">+</div>","null","fixation","",""
"","","","","","image-keyboard-response","18","2.0.0","22712","354","images/blue.png","f","response","f","true"
"","","","","","html-keyboard-response","19","2.0.0","24465","null","<div style=""font-size:60px;"">+</div>","null","fixation","",""
"","","","","","image-keyboard-response","20","2.0.0","24759","292","images/orange.png","j","response","j","true"
"","","","","","html-keyboard-response","21","2.0.0","25761","null","<div style=""font-size:60px;"">+</div>","null","fixation","",""
"","","","","","image-keyboard-response","22","2.0.0","26195","433","images/blue.png","f","response","f","true"
"","","","","","html-keyboard-response","23","2.0.0","27449","null","<div style=""font-size:60px;"">+</div>","null","fixation","",""
"","","","","","image-keyboard-response","24","2.0.0","27781","331","images/blue.png","f","response","f","true"
"","","","","","html-keyboard-response","25","2.0.0","29533","null","<div style=""font-size:60px;"">+</div>","null","fixation","",""
"","","","","","image-keyboard-response","26","2.0.0","29781","246","images/orange.png","j","response","j","true"
"","","","","","html-keyboard-response","27","2.0.0","31033","null","<div style=""font-size:60px;"">+</div>","null","fixation","",""
"","","","","","image-keyboard-response","28","2.0.0","31358","323","images/orange.png","j","response","j","true"
"","","","","","html-keyboard-response","29","2.0.0","32111","null","<div style=""font-size:60px;"">+</div>","null","fixation","",""
"","","","","","image-keyboard-response","30","2.0.0","32408","296","images/blue.png","f","response","f","true"
"","","","","","html-keyboard-response","31","2.0.0","33161","null","<div style=""font-size:60px;"">+</div>","null","fixation","",""
"","","","","","image-keyboard-response","32","2.0.0","33506","343","images/orange.png","j","response","j","true"
"","","","","","html-keyboard-response","33","2.0.0","35508","null","<div style=""font-size:60px;"">+</div>","null","fixation","",""
"","","","","","image-keyboard-response","34","2.0.0","35869","359","images/blue.png","f","response","f","true"
"","","","","","html-keyboard-response","35","2.0.0","37372","null","<div style=""font-size:60px;"">+</div>","null","fixation","",""
"","","","","","image-keyboard-response","36","2.0.0","37741","368","images/blue.png","f","response","f","true"
"","","","","","html-keyboard-response","37","2.0.0","39744","null","<div style=""font-size:60px;"">+</div>","null","fixation","",""
"","","","","","image-keyboard-response","38","2.0.0","40037","292","images/orange.png","j","response","j","true"
"","","","","","html-keyboard-response","39","2.0.0","41290","null","<div style=""font-size:60px;"">+</div>","null","fixation","",""
"","","","","","image-keyboard-response","40","2.0.0","41579","287","images/orange.png","f","response","j","false"
"","","","","","html-keyboard-response","41","2.0.0","42581","null","<div style=""font-size:60px;"">+</div>","null","fixation","",""
"","","","","","image-keyboard-response","42","2.0.0","42917","334","images/blue.png","f","response","f","true"
"","","","","","html-keyboard-response","43","2.0.0","44169","null","<div style=""font-size:60px;"">+</div>","null","fixation","",""
"","","","","","image-keyboard-response","44","2.0.0","44491","320","images/orange.png","j","response","j","true"
"","","","","","html-keyboard-response","45","2.0.0","46493","null","<div style=""font-size:60px;"">+</div>","null","fixation","",""
"","","","","","image-keyboard-response","46","2.0.0","46883","388","images/blue.png","f","response","f","true"
"","","","","","html-keyboard-response","47","2.0.0","48636","null","<div style=""font-size:60px;"">+</div>","null","fixation","",""
"","","","","","image-keyboard-response","48","2.0.0","48941","304","images/orange.png","j","response","j","true"
"","","","","","html-keyboard-response","49","2.0.0","50943","null","<div style=""font-size:60px;"">+</div>","null","fixation","",""
"","","","","","image-keyboard-response","50","2.0.0","51221","275","images/blue.png","f","response","f","true"
"","","","","","html-keyboard-response","51","2.0.0","52973","null","<div style=""font-size:60px;"">+</div>","null","fixation","",""
"","","","","","image-keyboard-response","52","2.0.0","53229","254","images/orange.png","j","response","j","true"
"","","","","","html-keyboard-response","53","2.0.0","53482","null","<div style=""font-size:60px;"">+</div>","null","fixation","",""
"","","","","","image-keyboard-response","54","2.0.0","53913","430","images/blue.png","f","response","f","true"
"","","","","","html-keyboard-response","55","2.0.0","55416","null","<div style=""font-size:60px;"">+</div>","null","fixation","",""
"","","","","","image-keyboard-response","56","2.0.0","55797","379","images/orange.png","j","response","j","true"
"","","","","","html-keyboard-response","57","2.0.0","57300","null","<div style=""font-size:60px;"">+</div>","null","fixation","",""
"","","","","","image-keyboard-response","58","2.0.0","57611","309","images/blue.png","f","response","f","true"
"","","","","","html-keyboard-response","59","2.0.0","57864","null","<div style=""font-size:60px;"">+</div>","null","fixation","",""
"","","","","","image-keyboard-response","60","2.0.0","58407","541","images/blue.png","f","response","f","true"
"","","","","","html-keyboard-response","61","2.0.0","60159","null","<div style=""font-size:60px;"">+</div>","null","fixation","",""
"","","","","","image-keyboard-response","62","2.0.0","60485","324","images/orange.png","j","response","j","true"
"","","","","","html-keyboard-response","63","2.0.0","62237","null","<div style=""font-size:60px;"">+</div>","null","fixation","",""
"","","","","","image-keyboard-response","64","2.0.0","62560","321","images/blue.png","f","response","f","true"
"","","","","","html-keyboard-response","65","2.0.0","64563","null","<div style=""font-size:60px;"">+</div>","null","fixation","",""
"","","","","","image-keyboard-response","66","2.0.0","64839","274","images/orange.png","f","response","j","false"
"","","","","","html-keyboard-response","67","2.0.0","65592","null","<div style=""font-size:60px;"">+</div>","null","fixation","",""
"","","","","","image-keyboard-response","68","2.0.0","65936","342","images/orange.png","j","response","j","true"
"","","","","","html-keyboard-response","69","2.0.0","66939","null","<div style=""font-size:60px;"">+</div>","null","fixation","",""
"","","","","","image-keyboard-response","70","2.0.0","67331","390","images/blue.png","f","response","f","true"
"","","","","","html-keyboard-response","71","2.0.0","67584","null","<div style=""font-size:60px;"">+</div>","null","fixation","",""
"","","","","","image-keyboard-response","72","2.0.0","67996","410","images/orange.png","j","response","j","true"
"","","","","","html-keyboard-response","73","2.0.0","69748","null","<div style=""font-size:60px;"">+</div>","null","fixation","",""
"","","","","","image-keyboard-response","74","2.0.0","70072","323","images/blue.png","f","response","f","true"
"","","","","","html-keyboard-response","75","2.0.0","71825","null","<div style=""font-size:60px;"">+</div>","null","fixation","",""
"","","","","","image-keyboard-response","76","2.0.0","72095","268","images/blue.png","f","response","f","true"
"","","","","","html-keyboard-response","77","2.0.0","73097","null","<div style=""font-size:60px;"">+</div>","null","fixation","",""
"","","","","","image-keyboard-response","78","2.0.0","73422","323","images/orange.png","j","response","j","true"
"","","","","","html-keyboard-response","79","2.0.0","74674","null","<div style=""font-size:60px;"">+</div>","null","fixation","",""
"","","","","","image-keyboard-response","80","2.0.0","74969","293","images/orange.png","j","response","j","true"
"","","","","","html-keyboard-response","81","2.0.0","76472","null","<div style=""font-size:60px;"">+</div>","null","fixation","",""
"","","","","","image-keyboard-response","82","2.0.0","76775","302","images/blue.png","f","response","f","true"
"","","","","","html-keyboard-response","83","2.0.0","78278","null","<div style=""font-size:60px;"">+</div>","null","fixation","",""
"","","","","","image-keyboard-response","84","2.0.0","78597","317","images/blue.png","j","response","f","false"
"","","","","","html-keyboard-response","85","2.0.0","79099","null","<div style=""font-size:60px;"">+</div>","null","fixation","",""
