"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","plugin_version","time_elapsed","rt","stimulus","response","task","correct_response","correct"
"true","false","[]","[]","[]","preload","0","2.0.0","6","","","","","",""
"","","","","","html-keyboard-response","1","2.0.0","1406","1400","Welcome to the experiment. Press any key to begin."," ","","",""
"","","","","","html-keyboard-response","2","2.0.0","5216","3809","
        <p>In this experiment, a circle will appear in the center 
        of the screen.</p><p>If the circle is <strong>blue</strong>, 
        press the letter F on the keyboard as fast as you can.</p>
        <p>If the circle is <strong>orange</strong>, press the letter J 
        as fast as you can.</p>
        <div style='width: 700px;'>
        <div style='float: left;'><img src='images/blue.png'></img>
        <p class='small'><strong>Press the F key</strong></p></div>
        <div style='float: right;'><img src='images/orange.png'></img>
        <p class='small'><strong>Press the J key</strong></p></div>
        </div>
        <p>Press any key to begin.</p>
      "," ","","",""
"","","","","","html-keyboard-response","3","2.0.0","8222","null","<div style=""font-size:60px;"">+</div>","null","fixation","",""
"","","","","","image-keyboard-response","4","2.0.0","8638","414","images/orange.png","j","response","j","true"
"","","","","","html-keyboard-response","5","2.0.0","10147","null","<div style=""font-size:60px;"">+</div>","null","fixation","",""
"","","","","","image-keyboard-response","6","2.0.0","10466","318","images/blue.png","f","response","f","true"
"","","","","","html-keyboard-response","7","2.0.0","10977","null","<div style=""font-size:60px;"">+</div>","null","fixation","",""
"","","","","","image-keyboard-response","8","2.0.0","11574","596","images/blue.png","f","response","f","true"
"","","","","","html-keyboard-response","9","2.0.0","13080","null","<div style=""font-size:60px;"">+</div>","null","fixation","",""
"","","","","","image-keyboard-response","10","2.0.0","13458","377","images/orange.png","j","response","j","true"
"","","","","","html-keyboard-response","11","2.0.0","14713","null","<div style=""font-size:60px;"">+</div>","null","fixation","",""
"","","","","","image-keyboard-response","12","2.0.0","15226","512","images/blue.png","f","response","f","true"
"","","","","","html-keyboard-response","13","2.0.0","16981","null","<div style=""font-size:60px;"">+</div>","null","fixation","",""
"","","","","","image-keyboard-response","14","2.0.0","17468","486","images/orange.png","j","response","j","true"
"","","","","","html-keyboard-response","15","2.0.0","17976","null","<div style=""font-size:60px;"">+</div>","null","fixation","",""
"","","","","","image-keyboard-response","16","2.0.0","18533","557","images/blue.png","f","response","f","true"
"","","","","","html-keyboard-response","17","2.0.0","19545","null","<div style=""font-size:60px;"">+</div>","null","fixation","",""
"","","","","","image-keyboard-response","18","2.0.0","20049","503","images/orange.png","j","response","j","true"
"","","","","","html-keyboard-response","19","2.0.0","20309","null","<div style=""font-size:60px;"">+</div>","null","fixation","",""
"","","","","","image-keyboard-response","20","2.0.0","20768","458","images/blue.png","f","response","f","true"
"","","","","","html-keyboard-response","21","2.0.0","22782","null","<div style=""font-size:60px;"">+</div>","null","fixation","",""
"","","","","","image-keyboard-response","22","2.0.0","23138","356","images/orange.png","j","response","j","true"
"","","","","","html-keyboard-response","23","2.0.0","23400","null","<div style=""font-size:60px;"">+</div>","null","fixation","",""
"","","","","","image-keyboard-response","24","2.0.0","23769","369","images/blue.png","f","response","f","true"
"","","","","","html-keyboard-response","25","2.0.0","25284","null","<div style=""font-size:60px;"">+</div>","null","fixation","",""
"","","","","","image-keyboard-response","26","2.0.0","25731","446","images/orange.png","j","response","j","true"
"","","","","","html-keyboard-response","27","2.0.0","26486","null","<div style=""font-size:60px;"">+</div>","null","fixation","",""
"","","","","","image-keyboard-response","28","2.0.0","26926","439","images/blue.png","f","response","f","true"
"","","","","","html-keyboard-response","29","2.0.0","27189","null","<div style=""font-size:60px;"">+</div>","null","fixation","",""
"","","","","","image-keyboard-response","30","2.0.0","27716","526","images/orange.png","j","response","j","true"
"","","","","","html-keyboard-response","31","2.0.0","28720","null","<div style=""font-size:60px;"">+</div>","null","fixation","",""
"","","","","","image-keyboard-response","32","2.0.0","29253","532","images/blue.png","f","response","f","true"
"","","","","","html-keyboard-response","33","2.0.0","29516","null","<div style=""font-size:60px;"">+</div>","null","fixation","",""
"","","","","","image-keyboard-response","34","2.0.0","29983","466","images/orange.png","j","response","j","true"
"","","","","","html-keyboard-response","35","2.0.0","31236","null","<div style=""font-size:60px;"">+</div>","null","fixation","",""
"","","","","","image-keyboard-response","36","2.0.0","31783","547","images/orange.png","f","response","j","false"
"","","","","","html-keyboard-response","37","2.0.0","33293","null","<div style=""font-size:60px;"">+</div>","null","fixation","",""
"","","","","","image-keyboard-response","38","2.0.0","34212","918","images/blue.png","f","response","f","true"
"","","","","","html-keyboard-response","39","2.0.0","35719","null","<div style=""font-size:60px;"">+</div>","null","fixation","",""
"","","","","","image-keyboard-response","40","2.0.0","36423","704","images/blue.png","f","response","f","true"
"","","","","","html-keyboard-response","41","2.0.0","38179","null","<div style=""font-size:60px;"">+</div>","null","fixation","",""
"","","","","","image-keyboard-response","42","2.0.0","38584","405","images/orange.png","j","response","j","true"
"","","","","","html-keyboard-response","43","2.0.0","40097","null","<div style=""font-size:60px;"">+</div>","null","fixation","",""
"","","","","","image-keyboard-response","44","2.0.0","40446","348","images/blue.png","f","response","f","true"
"","","","","","html-keyboard-response","45","2.0.0","41213","null","<div style=""font-size:60px;"">+</div>","null","fixation","",""
"","","","","","image-keyboard-response","46","2.0.0","41808","594","images/orange.png","j","response","j","true"
"","","","","","html-keyboard-response","47","2.0.0","43811","null","<div style=""font-size:60px;"">+</div>","null","fixation","",""
"","","","","","image-keyboard-response","48","2.0.0","44089","278","images/orange.png","f","response","j","false"
"","","","","","html-keyboard-response","49","2.0.0","45597","null","<div style=""font-size:60px;"">+</div>","null","fixation","",""
"","","","","","image-keyboard-response","50","2.0.0","46063","465","images/blue.png","f","response","f","true"
"","","","","","html-keyboard-response","51","2.0.0","46816","null","<div style=""font-size:60px;"">+</div>","null","fixation","",""
"","","","","","image-keyboard-response","52","2.0.0","47307","491","images/blue.png","f","response","f","true"
"","","","","","html-keyboard-response","53","2.0.0","48317","null","<div style=""font-size:60px;"">+</div>","null","fixation","",""
"","","","","","image-keyboard-response","54","2.0.0","48820","502","images/orange.png","j","response","j","true"
"","","","","","html-keyboard-response","55","2.0.0","50329","null","<div style=""font-size:60px;"">+</div>","null","fixation","",""
"","","","","","image-keyboard-response","56","2.0.0","50997","668","images/blue.png","f","response","f","true"
"","","","","","html-keyboard-response","57","2.0.0","51506","null","<div style=""font-size:60px;"">+</div>","null","fixation","",""
"","","","","","image-keyboard-response","58","2.0.0","52121","614","images/orange.png","j","response","j","true"
"","","","","","html-keyboard-response","59","2.0.0","52627","null","<div style=""font-size:60px;"">+</div>","null","fixation","",""
"","","","","","image-keyboard-response","60","2.0.0","53946","1319","images/blue.png","f","response","f","true"
"","","","","","html-keyboard-response","61","2.0.0","55962","null","<div style=""font-size:60px;"">+</div>","null","fixation","",""
"","","","","","image-keyboard-response","62","2.0.0","56352","389","images/orange.png","j","response","j","true"
"","","","","","html-keyboard-response","63","2.0.0","57610","null","<div style=""font-size:60px;"">+</div>","null","fixation","",""
"","","","","","image-keyboard-response","64","2.0.0","58035","424","images/blue.png","f","response","f","true"
"","","","","","html-keyboard-response","65","2.0.0","59044","null","<div style=""font-size:60px;"">+</div>","null","fixation","",""
"","","","","","image-keyboard-response","66","2.0.0","59488","444","images/orange.png","j","response","j","true"
"","","","","","html-keyboard-response","67","2.0.0","60491","null","<div style=""font-size:60px;"">+</div>","null","fixation","",""
"","","","","","image-keyboard-response","68","2.0.0","60923","431","images/orange.png","j","response","j","true"
"","","","","","html-keyboard-response","69","2.0.0","61180","null","<div style=""font-size:60px;"">+</div>","null","fixation","",""
"","","","","","image-keyboard-response","70","2.0.0","61793","612","images/blue.png","f","response","f","true"
"","","","","","html-keyboard-response","71","2.0.0","63302","null","<div style=""font-size:60px;"">+</div>","null","fixation","",""
"","","","","","image-keyboard-response","72","2.0.0","63691","389","images/orange.png","j","response","j","true"
"","","","","","html-keyboard-response","73","2.0.0","63955","null","<div style=""font-size:60px;"">+</div>","null","fixation","",""
"","","","","","image-keyboard-response","74","2.0.0","64583","628","images/blue.png","f","response","f","true"
"","","","","","html-keyboard-response","75","2.0.0","66585","null","<div style=""font-size:60px;"">+</div>","null","fixation","",""
"","","","","","image-keyboard-response","76","2.0.0","67024","439","images/blue.png","f","response","f","true"
"","","","","","html-keyboard-response","77","2.0.0","67530","null","<div style=""font-size:60px;"">+</div>","null","fixation","",""
"","","","","","image-keyboard-response","78","2.0.0","67959","428","images/orange.png","j","response","j","true"
"","","","","","html-keyboard-response","79","2.0.0","69460","null","<div style=""font-size:60px;"">+</div>","null","fixation","",""
"","","","","","image-keyboard-response","80","2.0.0","69965","504","images/orange.png","j","response","j","true"
"","","","","","html-keyboard-response","81","2.0.0","70222","null","<div style=""font-size:60px;"">+</div>","null","fixation","",""
