"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","plugin_version","time_elapsed","rt","stimulus","response","task","correct_response","correct"
"true","false","[]","[]","[]","preload","0","2.0.0","41","","","","","",""
"","","","","","html-keyboard-response","1","2.0.0","2992","2950","Welcome to the experiment. Press any key to begin."," ","","",""
"","","","","","html-keyboard-response","2","2.0.0","3643","649","
        <p>In this experiment, a circle will appear in the center 
        of the screen.</p><p>If the circle is <strong>blue</strong>, 
        press the letter F on the keyboard as fast as you can.</p>
        <p>If the circle is <strong>orange</strong>, press the letter J 
        as fast as you can.</p>
        <div style='width: 700px;'>
        <div style='float: left;'><img src='images/blue.png'></img>
        <p class='small'><strong>Press the F key</strong></p></div>
        <div style='float: right;'><img src='images/orange.png'></img>
        <p class='small'><strong>Press the J key</strong></p></div>
        </div>
        <p>Press any key to begin.</p>
      "," ","","",""
"","","","","","html-keyboard-response","3","2.0.0","7149","null","<div style=""font-size:60px;"">+</div>","null","fixation","",""
"","","","","","image-keyboard-response","4","2.0.0","7579","428","images/orange.png","j","response","j","true"
"","","","","","html-keyboard-response","5","2.0.0","8582","null","<div style=""font-size:60px;"">+</div>","null","fixation","",""
"","","","","","image-keyboard-response","6","2.0.0","8988","404","images/blue.png","f","response","f","true"
"","","","","","html-keyboard-response","7","2.0.0","9242","null","<div style=""font-size:60px;"">+</div>","null","fixation","",""
"","","","","","image-keyboard-response","8","2.0.0","9650","406","images/orange.png","j","response","j","true"
"","","","","","html-keyboard-response","9","2.0.0","9903","null","<div style=""font-size:60px;"">+</div>","null","fixation","",""
"","","","","","image-keyboard-response","10","2.0.0","10325","419","images/blue.png","f","response","f","true"
"","","","","","html-keyboard-response","11","2.0.0","11577","null","<div style=""font-size:60px;"">+</div>","null","fixation","",""
"","","","","","image-keyboard-response","12","2.0.0","12042","463","images/orange.png","j","response","j","true"
"","","","","","html-keyboard-response","13","2.0.0","13047","null","<div style=""font-size:60px;"">+</div>","null","fixation","",""
"","","","","","image-keyboard-response","14","2.0.0","13456","407","images/blue.png","f","response","f","true"
"","","","","","html-keyboard-response","15","2.0.0","14209","null","<div style=""font-size:60px;"">+</div>","null","fixation","",""
"","","","","","image-keyboard-response","16","2.0.0","14588","377","images/orange.png","j","response","j","true"
"","","","","","html-keyboard-response","17","2.0.0","16090","null","<div style=""font-size:60px;"">+</div>","null","fixation","",""
"","","","","","image-keyboard-response","18","2.0.0","16508","417","images/blue.png","f","response","f","true"
"","","","","","html-keyboard-response","19","2.0.0","18011","null","<div style=""font-size:60px;"">+</div>","null","fixation","",""
"","","","","","image-keyboard-response","20","2.0.0","18337","324","images/blue.png","f","response","f","true"
"","","","","","html-keyboard-response","21","2.0.0","20091","null","<div style=""font-size:60px;"">+</div>","null","fixation","",""
"","","","","","image-keyboard-response","22","2.0.0","20413","320","images/orange.png","j","response","j","true"
"","","","","","html-keyboard-response","23","2.0.0","21165","null","<div style=""font-size:60px;"">+</div>","null","fixation","",""
"","","","","","image-keyboard-response","24","2.0.0","21526","360","images/blue.png","f","response","f","true"
"","","","","","html-keyboard-response","25","2.0.0","22781","null","<div style=""font-size:60px;"">+</div>","null","fixation","",""
"","","","","","image-keyboard-response","26","2.0.0","23077","293","images/orange.png","j","response","j","true"
"","","","","","html-keyboard-response","27","2.0.0","23329","null","<div style=""font-size:60px;"">+</div>","null","fixation","",""
"","","","","","image-keyboard-response","28","2.0.0","23730","399","images/blue.png","f","response","f","true"
"","","","","","html-keyboard-response","29","2.0.0","24232","null","<div style=""font-size:60px;"">+</div>","null","fixation","",""
"","","","","","image-keyboard-response","30","2.0.0","24671","437","images/orange.png","j","response","j","true"
"","","","","","html-keyboard-response","31","2.0.0","26676","null","<div style=""font-size:60px;"">+</div>","null","fixation","",""
"","","","","","image-keyboard-response","32","2.0.0","26971","293","images/blue.png","f","response","f","true"
"","","","","","html-keyboard-response","33","2.0.0","28974","null","<div style=""font-size:60px;"">+</div>","null","fixation","",""
"","","","","","image-keyboard-response","34","2.0.0","29355","379","images/orange.png","j","response","j","true"
"","","","","","html-keyboard-response","35","2.0.0","30360","null","<div style=""font-size:60px;"">+</div>","null","fixation","",""
"","","","","","image-keyboard-response","36","2.0.0","30951","589","images/orange.png","j","response","j","true"
"","","","","","html-keyboard-response","37","2.0.0","31702","null","<div style=""font-size:60px;"">+</div>","null","fixation","",""
"","","","","","image-keyboard-response","38","2.0.0","32041","337","images/blue.png","f","response","f","true"
"","","","","","html-keyboard-response","39","2.0.0","32793","null","<div style=""font-size:60px;"">+</div>","null","fixation","",""
"","","","","","image-keyboard-response","40","2.0.0","33147","352","images/blue.png","f","response","f","true"
"","","","","","html-keyboard-response","41","2.0.0","33400","null","<div style=""font-size:60px;"">+</div>","null","fixation","",""
"","","","","","image-keyboard-response","42","2.0.0","33825","423","images/orange.png","j","response","j","true"
"","","","","","html-keyboard-response","43","2.0.0","35330","null","<div style=""font-size:60px;"">+</div>","null","fixation","",""
"","","","","","image-keyboard-response","44","2.0.0","35765","433","images/blue.png","f","response","f","true"
"","","","","","html-keyboard-response","45","2.0.0","36018","null","<div style=""font-size:60px;"">+</div>","null","fixation","",""
"","","","","","image-keyboard-response","46","2.0.0","36453","432","images/orange.png","j","response","j","true"
"","","","","","html-keyboard-response","47","2.0.0","36956","null","<div style=""font-size:60px;"">+</div>","null","fixation","",""
"","","","","","image-keyboard-response","48","2.0.0","37318","360","images/blue.png","f","response","f","true"
"","","","","","html-keyboard-response","49","2.0.0","38571","null","<div style=""font-size:60px;"">+</div>","null","fixation","",""
"","","","","","image-keyboard-response","50","2.0.0","38910","337","images/orange.png","j","response","j","true"
"","","","","","html-keyboard-response","51","2.0.0","40663","null","<div style=""font-size:60px;"">+</div>","null","fixation","",""
"","","","","","image-keyboard-response","52","2.0.0","41057","392","images/blue.png","f","response","f","true"
"","","","","","html-keyboard-response","53","2.0.0","42312","null","<div style=""font-size:60px;"">+</div>","null","fixation","",""
"","","","","","image-keyboard-response","54","2.0.0","42763","449","images/orange.png","j","response","j","true"
"","","","","","html-keyboard-response","55","2.0.0","44766","null","<div style=""font-size:60px;"">+</div>","null","fixation","",""
"","","","","","image-keyboard-response","56","2.0.0","45096","328","images/orange.png","j","response","j","true"
"","","","","","html-keyboard-response","57","2.0.0","47099","null","<div style=""font-size:60px;"">+</div>","null","fixation","",""
"","","","","","image-keyboard-response","58","2.0.0","47447","346","images/blue.png","f","response","f","true"
"","","","","","html-keyboard-response","59","2.0.0","49450","null","<div style=""font-size:60px;"">+</div>","null","fixation","",""
"","","","","","image-keyboard-response","60","2.0.0","49841","389","images/blue.png","j","response","f","false"
"","","","","","html-keyboard-response","61","2.0.0","50595","null","<div style=""font-size:60px;"">+</div>","null","fixation","",""
"","","","","","image-keyboard-response","62","2.0.0","50983","386","images/orange.png","j","response","j","true"
"","","","","","html-keyboard-response","63","2.0.0","51987","null","<div style=""font-size:60px;"">+</div>","null","fixation","",""
"","","","","","image-keyboard-response","64","2.0.0","52395","406","images/orange.png","j","response","j","true"
"","","","","","html-keyboard-response","65","2.0.0","52647","null","<div style=""font-size:60px;"">+</div>","null","fixation","",""
"","","","","","image-keyboard-response","66","2.0.0","53033","384","images/blue.png","f","response","f","true"
"","","","","","html-keyboard-response","67","2.0.0","54536","null","<div style=""font-size:60px;"">+</div>","null","fixation","",""
"","","","","","image-keyboard-response","68","2.0.0","55053","515","images/blue.png","j","response","f","false"
"","","","","","html-keyboard-response","69","2.0.0","57056","null","<div style=""font-size:60px;"">+</div>","null","fixation","",""
